replica_num,cnn_pose_score,substrate
0,0.6214500000000001,UDP-NGla
1,0.67145,UDP-NGla
2,0.67675,UDP-NGla
3,0.62005,UDP-NGla
4,0.5880000000000001,UDP-NGla
5,0.6456,UDP-NGla
6,0.5879000000000001,UDP-NGla
7,0.54355,UDP-NGla
8,0.5607500000000001,UDP-NGla
9,0.6988,UDP-NGla
10,0.62045,UDP-NGla
11,0.6231,UDP-NGla
12,0.68205,UDP-NGla
13,0.6536,UDP-NGla
14,0.58525,UDP-NGla
15,0.6076,UDP-NGla
16,0.57985,UDP-NGla
17,0.6353,UDP-NGla
18,0.67005,UDP-NGla
19,0.6819500000000001,UDP-NGla
20,0.5588,UDP-NGla
21,0.6351,UDP-NGla
22,0.65535,UDP-NGla
23,0.5952999999999999,UDP-NGla
24,0.64525,UDP-NGla
25,0.59995,UDP-NGla
26,0.67485,UDP-NGla
27,0.52225,UDP-NGla
28,0.6134999999999999,UDP-NGla
29,0.62325,UDP-NGla
30,0.6316999999999999,UDP-NGla
