replica_num,cnn_pose_score,substrate
0,0.7360500000000001,UDP-Gla
1,0.64995,UDP-Gla
2,0.5324,UDP-Gla
3,0.6786,UDP-Gla
4,0.6574500000000001,UDP-Gla
5,0.7648,UDP-Gla
6,0.652,UDP-Gla
7,0.6637500000000001,UDP-Gla
8,0.75885,UDP-Gla
9,0.7097,UDP-Gla
10,0.7414000000000001,UDP-Gla
11,0.6534,UDP-Gla
12,0.7486999999999999,UDP-Gla
13,0.70075,UDP-Gla
14,0.7112,UDP-Gla
15,0.7539,UDP-Gla
16,0.70025,UDP-Gla
17,0.7006,UDP-Gla
18,0.7101999999999999,UDP-Gla
19,0.53915,UDP-Gla
20,0.6332500000000001,UDP-Gla
21,0.7277,UDP-Gla
22,0.742,UDP-Gla
23,0.74455,UDP-Gla
24,0.7081999999999999,UDP-Gla
25,0.6613,UDP-Gla
26,0.5885,UDP-Gla
27,0.7092499999999999,UDP-Gla
28,0.64505,UDP-Gla
29,0.7108,UDP-Gla
30,0.59945,UDP-Gla
