# label	0.026454	0.026910	0.027366	0.027822	0.028278	0.028734	0.029190	0.029646	0.030102	0.030558	0.031014	0.031470	0.031927	0.032383	0.032839	0.033295	0.033751	0.034207	0.034663	0.035119	0.035575	0.036031	0.036487	0.036943	0.037400	0.037856	0.038312	0.038768	0.039224	0.039680	0.040136	0.040592	0.041048	0.041504	0.041960	0.042644	0.043557	0.044469	0.045381	0.046293	0.047205	0.048117	0.049029	0.049942	0.050854	0.051766	0.052678	0.053590	0.054502	0.055414	0.056326	0.057238	0.058151	0.059063	0.059975	0.061115	0.062483	0.063851	0.065219	0.066587	0.067955	0.069324	0.070692	0.072060	0.073428	0.074796	0.076164	0.077532	0.078900	0.080268	0.081864	0.083688	0.085512	0.087336	0.089160	0.090984	0.092808	0.094632	0.096456	0.098280	0.100103	0.102155	0.104435	0.106715	0.108994	0.111274	0.113554	0.115833	0.118113	0.120392	0.122900	0.125635	0.128370	0.131105	0.133841	0.136576	0.139311	0.142046	0.145008	0.148199	0.151389	0.154580	0.157770	0.160960	0.164151	0.167568	0.171214	0.174860	0.178505	0.182150	0.186023	0.190123	0.194224	0.198324	0.202424	0.206523	0.210850	0.215405	0.219960	0.224514	0.229067	0.233849	0.238857	0.243865	0.248873	0.254108	0.259571	0.265032	0.270494	0.276182	0.282097	0.288012	0.293926	0.300067	0.306434	0.312801	0.319394	0.326214	0.333033	0.339851	0.346895	0.354165	0.361434	0.368930	0.376651	0.384597	0.392769	0.400940	0.409335	0.417956	0.426575	0.435419	0.444487	0.453780	0.463297	0.472811	0.482549	0.492511
frame_0	1.00000000	0.99861917	0.99723824	0.99585698	0.99447524	0.99309273	0.99170929	0.99032475	0.98893882	0.98755135	0.98616215	0.98477096	0.98337763	0.98198192	0.98058361	0.97918254	0.97777849	0.97637120	0.97496055	0.97354628	0.97212821	0.97070611	0.96927979	0.96784904	0.96641365	0.96497341	0.96352813	0.96207760	0.96062164	0.95915998	0.95769245	0.95621887	0.95473898	0.95325263	0.95175955	0.94950698	0.94647817	0.94341890	0.94032750	0.93720231	0.93404171	0.93084403	0.92760764	0.92433086	0.92101208	0.91764963	0.91424184	0.91078712	0.90728377	0.90373014	0.90012460	0.89646551	0.89275136	0.88898269	0.88516120	0.88031270	0.87439392	0.86837096	0.86224964	0.85603580	0.84973532	0.84335406	0.83689785	0.83037253	0.82378398	0.81713806	0.81044061	0.80369752	0.79691459	0.79009774	0.78210966	0.77294553	0.76375755	0.75455959	0.74536551	0.73618584	0.72702558	0.71788919	0.70878121	0.69970609	0.69066833	0.68055123	0.66937979	0.65829050	0.64729204	0.63639341	0.62560321	0.61493036	0.60438356	0.59397181	0.58268321	0.57057150	0.55867898	0.54701309	0.53558149	0.52439128	0.51345015	0.50276563	0.49148881	0.47970213	0.46829788	0.45728203	0.44664827	0.43638851	0.42649455	0.41629048	0.40584750	0.39584816	0.38628035	0.37713186	0.36785567	0.35850827	0.34962157	0.34116802	0.33311990	0.32544961	0.31773232	0.30999466	0.30262063	0.29558214	0.28885090	0.28208325	0.27528809	0.26875770	0.26245816	0.25609874	0.24969149	0.24349875	0.23750118	0.23144040	0.22532164	0.21938472	0.21362483	0.20782571	0.20200233	0.19636752	0.19072603	0.18509409	0.17966525	0.17443493	0.16923196	0.16406581	0.15909661	0.15416663	0.14928114	0.14444384	0.13965661	0.13504500	0.13047242	0.12593653	0.12154652	0.11717561	0.11282298	0.10849264	0.10418817	0.10000058	0.09579340	0.09152451	
frame_1	1.00000000	0.99874628	0.99749246	0.99623834	0.99498375	0.99372843	0.99247221	0.99121493	0.98995632	0.98869622	0.98743445	0.98617077	0.98490502	0.98363698	0.98236643	0.98109322	0.97981713	0.97853792	0.97725546	0.97596952	0.97467990	0.97338640	0.97208883	0.97078697	0.96948065	0.96816964	0.96685377	0.96553282	0.96420664	0.96287495	0.96153759	0.96019440	0.95884511	0.95748959	0.95612757	0.95407204	0.95130681	0.94851218	0.94568651	0.94282823	0.93993574	0.93700745	0.93404178	0.93103711	0.92799187	0.92490445	0.92177325	0.91859672	0.91537323	0.91210118	0.90877899	0.90540507	0.90197797	0.89849811	0.89496698	0.89048332	0.88500457	0.87942339	0.87374494	0.86797435	0.86211680	0.85617747	0.85016148	0.84407399	0.83792018	0.83170522	0.82543425	0.81911247	0.81274498	0.80633700	0.79881671	0.79017370	0.78149082	0.77278033	0.76405443	0.75532255	0.74658952	0.73785969	0.72913751	0.72042731	0.71173350	0.70197815	0.69117721	0.68042510	0.66973034	0.65910169	0.64854758	0.63807670	0.62769758	0.61741901	0.60623751	0.59419739	0.58233140	0.57064919	0.55916064	0.54787507	0.53680238	0.52595233	0.51446040	0.50240360	0.49069280	0.47933787	0.46833715	0.45768734	0.44738503	0.43672857	0.42579257	0.41529643	0.40523520	0.39560386	0.38583315	0.37598745	0.36663264	0.35774544	0.34930235	0.34128003	0.33324246	0.32522972	0.31764483	0.31045605	0.30363132	0.29682251	0.29004213	0.28358079	0.27739886	0.27120514	0.26500623	0.25904626	0.25329398	0.24748911	0.24162485	0.23592275	0.23037074	0.22475120	0.21906640	0.21351507	0.20790358	0.20224598	0.19673782	0.19137857	0.18599624	0.18060454	0.17537806	0.17015951	0.16496137	0.15979161	0.15465640	0.14969606	0.14476835	0.13987155	0.13512444	0.13039089	0.12567190	0.12097484	0.11630726	0.11177032	0.10721513	0.10259449	
frame_2	1.00000000	0.99860359	0.99720707	0.99581025	0.99441295	0.99301491	0.99161597	0.99021595	0.98881460	0.98741173	0.98600719	0.98460071	0.98319215	0.98178129	0.98036789	0.97895180	0.97753281	0.97611068	0.97468528	0.97325636	0.97182373	0.97038719	0.96894654	0.96750158	0.96605211	0.96459793	0.96313884	0.96167464	0.96020515	0.95873012	0.95724938	0.95576275	0.95426998	0.95277093	0.95126533	0.94899433	0.94594162	0.94285927	0.93974566	0.93659917	0.93341822	0.93020118	0.92694647	0.92365247	0.92031759	0.91694020	0.91351870	0.91005152	0.90653701	0.90297358	0.89935962	0.89569354	0.89197389	0.88820123	0.88437731	0.87952804	0.87361175	0.86759512	0.86148412	0.85528473	0.84900296	0.84264481	0.83621624	0.82972323	0.82317180	0.81656794	0.80991764	0.80322691	0.79650170	0.78974805	0.78184083	0.77277878	0.76370349	0.75462916	0.74556997	0.73653656	0.72753371	0.71856559	0.70963648	0.70075056	0.69191207	0.68203083	0.67113555	0.66033671	0.64964251	0.63906138	0.62860143	0.61827104	0.60807840	0.59803197	0.58715722	0.57550966	0.56409263	0.55291162	0.54197236	0.53128002	0.52084034	0.51065891	0.49992671	0.48872330	0.47789595	0.46744783	0.45737034	0.44765319	0.43828598	0.42862622	0.41873793	0.40926334	0.40018705	0.39149355	0.38265800	0.37372888	0.36521119	0.35707773	0.34930111	0.34185409	0.33432053	0.32671922	0.31942601	0.31241786	0.30567163	0.29884507	0.29194716	0.28527875	0.27881270	0.27225550	0.26562351	0.25919512	0.25295900	0.24665524	0.24029714	0.23413731	0.22817318	0.22218415	0.21619037	0.21041342	0.20465015	0.19891331	0.19339466	0.18808313	0.18279756	0.17753807	0.17245731	0.16738250	0.16230609	0.15722235	0.15212360	0.14713615	0.14210765	0.13703458	0.13204329	0.12699540	0.12190508	0.11680503	0.11173275	0.10681976	0.10190198	0.09692186	
frame_3	1.00000000	0.99866334	0.99732653	0.99598933	0.99465152	0.99331279	0.99197294	0.99063175	0.98928891	0.98794420	0.98659743	0.98524827	0.98389655	0.98254199	0.98118431	0.97982334	0.97845879	0.97709040	0.97571797	0.97434124	0.97295995	0.97157387	0.97018275	0.96878634	0.96738440	0.96597668	0.96456295	0.96314295	0.96171648	0.96028321	0.95884295	0.95739548	0.95594049	0.95447779	0.95300709	0.95078559	0.94779334	0.94476481	0.94169800	0.93859095	0.93544172	0.93224833	0.92900883	0.92572126	0.92238366	0.91899405	0.91555048	0.91205103	0.90849389	0.90487956	0.90120988	0.89748670	0.89371183	0.88988714	0.88601445	0.88110890	0.87513216	0.86906299	0.86290763	0.85667225	0.85036313	0.84398647	0.83754849	0.83105539	0.82451343	0.81792882	0.81130779	0.80465659	0.79798140	0.79128849	0.78346593	0.77451587	0.76556053	0.75660519	0.74765510	0.73871555	0.72979183	0.72088917	0.71201291	0.70316828	0.69436060	0.68450279	0.67362136	0.66282558	0.65212567	0.64153145	0.63105030	0.62068956	0.61045642	0.60035830	0.58941491	0.57768426	0.56618245	0.55492210	0.54391601	0.53317646	0.52271261	0.51252453	0.50179691	0.49060238	0.47977737	0.46931961	0.45922719	0.44949809	0.44013020	0.43048830	0.42063905	0.41122164	0.40221815	0.39361059	0.38487884	0.37607470	0.36769898	0.35972448	0.35212318	0.34486720	0.33755165	0.33019672	0.32315852	0.31640437	0.30990956	0.30334322	0.29671266	0.29030505	0.28408938	0.27777531	0.27137376	0.26514922	0.25908744	0.25293110	0.24669104	0.24061541	0.23470312	0.22873525	0.22273007	0.21691108	0.21107968	0.20525545	0.19964151	0.19423177	0.18884715	0.18349790	0.17835031	0.17323907	0.16816606	0.16313067	0.15813099	0.15329766	0.14848702	0.14369470	0.13903697	0.13438067	0.12971979	0.12505924	0.12041079	0.11588834	0.11135218	0.10675320	
frame_4	1.00000000	0.99870842	0.99741673	0.99612474	0.99483227	0.99353906	0.99224496	0.99094978	0.98965326	0.98835525	0.98705555	0.98575393	0.98445022	0.98314422	0.98183568	0.98052447	0.97921035	0.97789310	0.97657258	0.97524855	0.97392082	0.97258918	0.97125344	0.96991340	0.96856885	0.96721960	0.96586545	0.96450619	0.96314165	0.96177159	0.96039581	0.95901417	0.95762639	0.95623233	0.95483174	0.95271826	0.94987562	0.94700339	0.94409994	0.94116366	0.93819296	0.93518623	0.93214188	0.92905829	0.92593388	0.92276702	0.91955611	0.91629958	0.91299579	0.90964314	0.90624004	0.90278489	0.89927623	0.89571452	0.89210133	0.88751491	0.88191276	0.87620834	0.87040704	0.86451425	0.85853540	0.85247590	0.84634115	0.84013655	0.83386752	0.82753948	0.82115783	0.81472801	0.80825539	0.80174542	0.79411045	0.78534255	0.77654195	0.76772147	0.75889391	0.75006915	0.74125212	0.73244729	0.72365921	0.71489233	0.70615116	0.69635381	0.68552038	0.67475092	0.66405414	0.65343903	0.64291422	0.63248863	0.62217098	0.61197026	0.60089325	0.58898888	0.57728044	0.56577668	0.55448653	0.54341840	0.53258127	0.52198396	0.51078417	0.49906197	0.48770507	0.47672148	0.46610689	0.45585522	0.44596027	0.43574737	0.42528882	0.41527050	0.40568332	0.39651809	0.38722959	0.37787577	0.36898954	0.36054339	0.35250966	0.34486079	0.33717382	0.32947662	0.32215003	0.31516265	0.30848283	0.30176586	0.29501595	0.28851840	0.28223518	0.27587239	0.26943673	0.26318742	0.25710232	0.25091443	0.24462345	0.23847709	0.23247481	0.22639370	0.22025037	0.21427333	0.20826168	0.20223890	0.19642042	0.19081095	0.18523383	0.17970285	0.17439289	0.16913925	0.16395040	0.15882711	0.15376609	0.14889358	0.14405860	0.13925235	0.13458415	0.12991252	0.12523481	0.12055901	0.11589378	0.11134289	0.10676163	0.10210769	
frame_5	1.00000000	0.99864358	0.99728705	0.99593022	0.99457290	0.99321486	0.99185590	0.99049586	0.98913448	0.98777160	0.98640703	0.98504052	0.98367192	0.98230102	0.98092757	0.97955143	0.97817238	0.97679019	0.97540470	0.97401570	0.97262298	0.97122634	0.96982558	0.96842050	0.96701090	0.96559658	0.96417733	0.96275296	0.96132329	0.95988807	0.95844712	0.95700028	0.95554727	0.95408797	0.95262211	0.95041067	0.94743733	0.94443429	0.94139989	0.93833255	0.93523065	0.93209259	0.92891676	0.92570155	0.92244535	0.91914654	0.91580352	0.91241471	0.90897845	0.90549315	0.90195720	0.89836900	0.89472710	0.89103202	0.88728543	0.88253237	0.87673073	0.87082764	0.86482887	0.85874015	0.85256729	0.84631605	0.83999219	0.83360145	0.82714963	0.82064251	0.81408584	0.80748541	0.80084696	0.79417631	0.78636084	0.77739655	0.76841092	0.75941764	0.75043035	0.74145941	0.73250972	0.72358559	0.71469148	0.70583171	0.69701067	0.68713886	0.67624164	0.66542810	0.65470670	0.64408622	0.63357503	0.62318183	0.61291510	0.60278361	0.59180323	0.58002730	0.56846961	0.55713718	0.54603718	0.53517630	0.52456175	0.51420062	0.50327000	0.49185070	0.48080747	0.47014569	0.45985864	0.44993786	0.44037481	0.43051592	0.42042994	0.41077554	0.40154007	0.39271079	0.38375892	0.37473813	0.36616078	0.35799932	0.35022598	0.34281317	0.33534887	0.32785666	0.32070716	0.31387308	0.30732700	0.30073397	0.29410103	0.28771276	0.28153647	0.27528755	0.26897778	0.26286660	0.25693704	0.25093518	0.24486754	0.23897417	0.23325302	0.22749205	0.22170933	0.21611924	0.21052972	0.20495864	0.19959899	0.19444727	0.18933437	0.18426647	0.17939631	0.17456441	0.16976925	0.16500335	0.16025477	0.15563419	0.15099099	0.14630825	0.14168669	0.13698024	0.13217336	0.12725698	0.12222094	0.11717690	0.11200210	0.10669356	
frame_6	1.00000000	0.99865649	0.99731287	0.99596895	0.99462456	0.99327943	0.99193340	0.99058630	0.98923787	0.98788794	0.98653633	0.98518279	0.98382719	0.98246928	0.98110885	0.97974575	0.97837975	0.97701062	0.97563822	0.97426233	0.97288274	0.97149926	0.97011168	0.96871980	0.96732343	0.96592236	0.96451640	0.96310535	0.96168903	0.96026719	0.95883966	0.95740626	0.95596674	0.95452096	0.95306865	0.95087764	0.94793166	0.94495615	0.94194947	0.93891004	0.93583625	0.93272651	0.92957923	0.92639278	0.92316559	0.91989604	0.91658253	0.91322349	0.90981729	0.90636232	0.90285701	0.89929974	0.89568908	0.89202555	0.88831080	0.88359794	0.87784506	0.87199128	0.86604231	0.86000385	0.85388164	0.84768142	0.84140888	0.83506974	0.82866973	0.82221460	0.81571004	0.80916181	0.80257560	0.79595716	0.78820255	0.77930762	0.77039105	0.76146642	0.75254725	0.74364387	0.73476117	0.72590355	0.71707546	0.70828127	0.69952541	0.68972651	0.67890982	0.66817637	0.65753472	0.64699368	0.63656173	0.62624762	0.61605992	0.60600745	0.59511408	0.58343324	0.57197092	0.56073422	0.54973043	0.53896630	0.52844914	0.51818615	0.50736278	0.49606020	0.48513510	0.47459289	0.46442662	0.45462758	0.44518697	0.43545975	0.42551442	0.41600050	0.40690495	0.39821464	0.38940882	0.38053979	0.37211003	0.36409070	0.35645280	0.34916748	0.34182774	0.33445397	0.32740854	0.32066310	0.31418915	0.30765291	0.30105732	0.29468235	0.28849421	0.28220629	0.27582757	0.26961938	0.26356553	0.25740609	0.25114558	0.24503224	0.23906670	0.23302893	0.22693752	0.22101975	0.21507316	0.20911611	0.20335605	0.19779190	0.19224207	0.18671263	0.18137121	0.17604412	0.17073080	0.16542743	0.16012700	0.15496100	0.14977070	0.14454989	0.13942466	0.13424821	0.12902540	0.12377443	0.11851597	0.11337697	0.10819796	0.10293437	
frame_7	1.00000000	0.99869224	0.99738437	0.99607620	0.99476756	0.99345819	0.99214792	0.99083657	0.98952390	0.98820973	0.98689389	0.98557613	0.98425630	0.98293417	0.98160952	0.98028221	0.97895200	0.97761868	0.97628209	0.97494201	0.97359824	0.97225058	0.97089884	0.96954280	0.96818229	0.96681708	0.96544699	0.96407181	0.96269138	0.96130544	0.95991381	0.95851634	0.95711275	0.95570291	0.95428655	0.95214949	0.94927549	0.94637201	0.94343743	0.94047014	0.93746857	0.93443110	0.93135615	0.92824212	0.92508741	0.92189042	0.91864954	0.91536322	0.91202982	0.90864774	0.90521540	0.90173120	0.89819370	0.89460338	0.89096183	0.88634037	0.88069687	0.87495194	0.86911108	0.86317978	0.85716360	0.85106804	0.84489861	0.83866080	0.83236017	0.82600223	0.81959248	0.81313647	0.80663968	0.80010767	0.79244981	0.78365970	0.77484132	0.76600777	0.75717209	0.74834430	0.73952932	0.73073158	0.72195559	0.71320576	0.70448657	0.69471977	0.68392748	0.67320664	0.66256591	0.65201419	0.64156003	0.63121229	0.62097961	0.61087091	0.59990302	0.58812657	0.57655468	0.56519541	0.55405704	0.54314731	0.53247451	0.52204683	0.51103597	0.49952233	0.48837822	0.47761058	0.46721400	0.45718130	0.44750519	0.43752535	0.42731228	0.41753464	0.40818166	0.39924252	0.39018377	0.38106062	0.37239132	0.36414760	0.35630102	0.34882326	0.34129863	0.33375110	0.32655257	0.31967275	0.31308114	0.30643719	0.29974367	0.29328341	0.28702007	0.28066205	0.27421708	0.26794715	0.26183353	0.25561113	0.24928278	0.24310066	0.23706733	0.23096228	0.22480672	0.21883355	0.21284428	0.20686535	0.20111290	0.19559275	0.19013210	0.18474483	0.17959989	0.17453602	0.16955977	0.16466684	0.15984722	0.15521263	0.15061040	0.14602279	0.14154445	0.13702889	0.13245677	0.12781360	0.12308256	0.11836066	0.11352737	0.10857455	
frame_8	1.00000000	0.99863878	0.99727741	0.99591565	0.99455327	0.99318998	0.99182556	0.99045979	0.98909237	0.98772309	0.98635172	0.98497797	0.98360164	0.98222247	0.98084018	0.97945458	0.97806539	0.97667235	0.97527527	0.97387387	0.97246791	0.97105714	0.96964131	0.96822019	0.96679352	0.96536107	0.96392258	0.96247781	0.96102654	0.95956848	0.95810339	0.95663108	0.95515124	0.95366367	0.95216807	0.94990919	0.94686704	0.94378852	0.94067162	0.93751440	0.93431489	0.93107112	0.92778114	0.92444296	0.92105465	0.91761421	0.91411968	0.91056913	0.90696077	0.90329511	0.89957404	0.89579943	0.89197315	0.88809709	0.88417313	0.87920369	0.87315065	0.86700574	0.86077530	0.85446567	0.84808323	0.84163435	0.83512536	0.82856261	0.82195249	0.81530135	0.80861554	0.80190146	0.79516542	0.78841384	0.78052575	0.77150473	0.76248258	0.75346443	0.74445541	0.73546073	0.72648552	0.71753493	0.70861416	0.69972835	0.69088267	0.68098581	0.67006536	0.65923496	0.64850461	0.63788378	0.62737931	0.61699792	0.60674618	0.59663091	0.58566958	0.57391953	0.56239748	0.55111497	0.54008374	0.52931501	0.51881690	0.50858857	0.49780951	0.48654917	0.47564614	0.46509669	0.45489744	0.44504492	0.43553556	0.42572089	0.41566320	0.40601259	0.39675133	0.38786159	0.37880348	0.36962421	0.36084343	0.35243647	0.34437874	0.33664577	0.32880820	0.32088760	0.31327178	0.30593305	0.29885206	0.29167445	0.28441487	0.27739701	0.27059693	0.26370490	0.25674040	0.24999821	0.24346848	0.23688213	0.23025850	0.22386232	0.21769050	0.21151552	0.20535985	0.19945053	0.19358246	0.18777408	0.18222337	0.17691865	0.17168155	0.16652075	0.16159321	0.15673963	0.15196354	0.14726591	0.14264646	0.13822587	0.13387260	0.12958388	0.12546118	0.12138296	0.11734139	0.11333804	0.10938001	0.10555924	0.10174906	0.09789768	
frame_9	1.00000000	0.99860983	0.99721950	0.99582878	0.99443744	0.99304519	0.99165180	0.99025706	0.98886066	0.98746239	0.98606203	0.98465928	0.98325394	0.98184575	0.98043442	0.97901978	0.97760154	0.97617943	0.97475326	0.97332276	0.97188768	0.97044777	0.96900279	0.96755249	0.96609663	0.96463496	0.96316723	0.96169320	0.96021265	0.95872528	0.95723086	0.95572919	0.95421996	0.95270297	0.95117793	0.94887482	0.94577359	0.94263586	0.93945961	0.93624289	0.93298372	0.92968014	0.92633017	0.92293183	0.91948317	0.91598219	0.91242693	0.90881544	0.90514593	0.90141895	0.89763643	0.89380034	0.88991257	0.88597511	0.88198987	0.87694409	0.87080001	0.86456485	0.85824517	0.85184750	0.84537844	0.83884454	0.83225236	0.82560843	0.81891934	0.81219167	0.80543196	0.79864681	0.79184274	0.78502635	0.77706703	0.76797061	0.75887959	0.74979920	0.74073470	0.73169137	0.72267450	0.71368931	0.70474113	0.69583518	0.68697678	0.67707457	0.66615953	0.65534666	0.64464619	0.63406770	0.62361788	0.61330325	0.60313016	0.59310523	0.58225656	0.57064497	0.55927727	0.54816466	0.53731854	0.52674979	0.51646605	0.50646563	0.49594779	0.48498414	0.47439239	0.46416745	0.45430455	0.44479883	0.43564536	0.42622051	0.41658640	0.40736535	0.39853751	0.39008292	0.38148671	0.37279324	0.36449202	0.35655609	0.34895881	0.34167368	0.33429292	0.32683291	0.31965414	0.31272690	0.30603101	0.29922854	0.29232892	0.28563618	0.27912548	0.27249827	0.26577089	0.25922774	0.25286100	0.24640830	0.23988799	0.23356331	0.22743581	0.22128310	0.21513035	0.20920821	0.20331522	0.19747402	0.19188878	0.18655076	0.18128218	0.17609387	0.17114542	0.16627637	0.16148881	0.15678188	0.15215276	0.14771882	0.14334406	0.13902110	0.13484925	0.13070289	0.12656980	0.12244144	0.11831054	0.11426196	0.11017354	0.10601328	
