# label	0.008210	0.008666	0.009122	0.009578	0.010034	0.010490	0.010946	0.011402	0.011859	0.012315	0.012771	0.013227	0.013683	0.014139	0.014595	0.015051	0.015507	0.015963	0.016420	0.016876	0.017332	0.017788	0.018244	0.018700	0.019156	0.019612	0.020068	0.020524	0.020980	0.021437	0.021893	0.022349	0.022805	0.023261	0.023717	0.024401	0.025313	0.026225	0.027138	0.028050	0.028962	0.029874	0.030786	0.031699	0.032611	0.033523	0.034435	0.035347	0.036259	0.037172	0.038084	0.038996	0.039908	0.040820	0.041732	0.042872	0.044241	0.045609	0.046977	0.048345	0.049713	0.051082	0.052450	0.053818	0.055186	0.056554	0.057923	0.059291	0.060659	0.062027	0.063623	0.065447	0.067271	0.069096	0.070920	0.072744	0.074568	0.076392	0.078216	0.080040	0.081864	0.083916	0.086196	0.088476	0.090756	0.093036	0.095316	0.097596	0.099875	0.102155	0.104663	0.107399	0.110134	0.112870	0.115605	0.118341	0.121076	0.123811	0.126775	0.129966	0.133157	0.136348	0.139539	0.142729	0.145920	0.149338	0.152985	0.156631	0.160277	0.163923	0.167796	0.171898	0.175999	0.180100	0.184200	0.188301	0.192629	0.197185	0.201740	0.206295	0.210850	0.215633	0.220643	0.225652	0.230661	0.235898	0.241361	0.246825	0.252287	0.257977	0.263894	0.269811	0.275727	0.281870	0.288239	0.294608	0.301204	0.308026	0.314847	0.321668	0.328714	0.335987	0.343259	0.350757	0.358482	0.366431	0.374607	0.382781	0.391180	0.399805	0.408428	0.417276	0.426348	0.435646	0.445167	0.454686	0.464430	0.474397	0.484587	0.495001
frame_0	1.00000000	0.99919737	0.99839447	0.99759094	0.99678639	0.99598048	0.99517280	0.99436299	0.99355069	0.99273551	0.99191709	0.99109505	0.99026900	0.98943862	0.98860347	0.98776324	0.98691751	0.98606593	0.98520811	0.98434371	0.98347232	0.98259360	0.98170714	0.98081260	0.97990961	0.97899775	0.97807670	0.97714607	0.97620548	0.97525454	0.97429292	0.97332022	0.97233607	0.97134011	0.97033194	0.96879602	0.96670195	0.96455240	0.96234436	0.96007487	0.95774093	0.95533956	0.95286777	0.95032257	0.94770100	0.94500005	0.94221671	0.93934804	0.93639103	0.93334272	0.93020215	0.92697126	0.92365218	0.92024707	0.91675806	0.91228209	0.90674822	0.90104369	0.89517572	0.88915158	0.88297849	0.87666371	0.87021443	0.86363797	0.85694150	0.85013230	0.84321759	0.83620463	0.82910061	0.82191285	0.81343090	0.80362444	0.79371256	0.78370439	0.77360735	0.76342882	0.75317623	0.74285700	0.73247854	0.72204826	0.71157357	0.69974570	0.68656157	0.67334718	0.66011701	0.64688559	0.63366737	0.62047614	0.60732506	0.59422738	0.57989703	0.56437610	0.54899449	0.53377475	0.51873983	0.50391231	0.48931517	0.47497114	0.45973482	0.44368730	0.42802266	0.41274876	0.39787442	0.38340803	0.36935805	0.35477652	0.33977208	0.32533603	0.31145763	0.29812514	0.28454465	0.27080753	0.25771479	0.24525003	0.23339490	0.22212328	0.21082763	0.19957025	0.18892417	0.17885121	0.16931320	0.15983870	0.15047383	0.14164835	0.13332712	0.12512881	0.11707954	0.10952204	0.10244089	0.09555461	0.08890468	0.08275799	0.07710485	0.07175303	0.06675728	0.06232163	0.05831107	0.05476933	0.05182420	0.04945454	0.04758546	0.04622636	0.04538761	0.04500435	0.04505080	0.04548040	0.04622872	0.04718675	0.04829245	0.04946970	0.05060209	0.05163401	0.05251168	0.05318928	0.05361871	0.05377089	0.05364108	0.05321988	0.05256539	0.05177638	
frame_1	1.00000000	0.99910787	0.99821544	0.99732232	0.99642809	0.99553238	0.99463475	0.99373481	0.99283218	0.99192642	0.99101716	0.99010396	0.98918645	0.98826423	0.98733687	0.98640400	0.98546519	0.98452005	0.98356817	0.98260916	0.98164260	0.98066811	0.97968525	0.97869367	0.97769294	0.97668263	0.97566239	0.97463178	0.97359042	0.97253787	0.97147377	0.97039770	0.96930926	0.96820805	0.96709365	0.96539647	0.96308368	0.96071091	0.95827496	0.95577261	0.95320062	0.95055579	0.94783485	0.94503462	0.94215186	0.93918335	0.93612582	0.93297612	0.92973097	0.92638720	0.92294384	0.91940318	0.91576772	0.91203999	0.90822250	0.90332825	0.89728213	0.89105530	0.88465625	0.87809349	0.87137549	0.86451079	0.85750782	0.85037517	0.84312125	0.83575463	0.82828375	0.82071715	0.81306329	0.80533072	0.79622120	0.78571061	0.77511109	0.76443322	0.75368550	0.74287639	0.73201445	0.72110818	0.71016607	0.69919666	0.68820843	0.67583479	0.66208580	0.64835232	0.63465100	0.62099852	0.60741140	0.59390430	0.58049002	0.56718147	0.55267914	0.53704171	0.52161719	0.50642750	0.49149494	0.47684148	0.46248946	0.44846094	0.43364308	0.41812882	0.40307574	0.38848420	0.37435545	0.36069037	0.34748986	0.33386335	0.31991853	0.30657365	0.29380734	0.28159729	0.26920884	0.25671939	0.24484456	0.23355284	0.22281263	0.21259198	0.20233178	0.19207708	0.18233860	0.17307247	0.16423508	0.15538359	0.14655833	0.13816845	0.13019072	0.12226593	0.11442358	0.10701101	0.10003259	0.09322986	0.08666522	0.08062628	0.07511693	0.06995947	0.06522123	0.06110793	0.05750314	0.05444173	0.05201650	0.05018402	0.04886417	0.04803675	0.04766234	0.04765364	0.04794232	0.04845698	0.04911525	0.04979956	0.05044510	0.05100519	0.05142267	0.05167143	0.05175241	0.05168440	0.05149022	0.05120021	0.05083369	0.05041575	0.04996131	0.04948092	
frame_2	1.00000000	0.99917004	0.99833973	0.99750861	0.99667621	0.99584211	0.99500580	0.99416684	0.99332481	0.99247919	0.99162956	0.99077544	0.98991637	0.98905193	0.98818161	0.98730499	0.98642158	0.98553095	0.98463260	0.98372613	0.98281102	0.98188686	0.98095314	0.98000946	0.97905534	0.97809028	0.97711387	0.97612565	0.97512513	0.97411185	0.97308539	0.97204526	0.97099102	0.96992219	0.96883832	0.96718331	0.96491970	0.96258766	0.96018352	0.95770361	0.95514424	0.95250175	0.94977244	0.94695265	0.94403872	0.94102694	0.93791393	0.93469991	0.93138734	0.92797876	0.92447669	0.92088368	0.91720225	0.91343496	0.90958431	0.90465765	0.89858593	0.89234805	0.88595255	0.87940797	0.87272285	0.86590578	0.85896522	0.85190983	0.84474806	0.83748852	0.83013972	0.82271024	0.81520802	0.80763791	0.79872516	0.78843952	0.77805590	0.76758299	0.75702947	0.74640397	0.73571521	0.72497187	0.71418262	0.70335614	0.69250112	0.68026589	0.66665678	0.65304865	0.63945807	0.62590165	0.61239591	0.59895747	0.58560291	0.57234895	0.55790532	0.54233617	0.52699078	0.51189603	0.49706669	0.48251149	0.46823952	0.45425977	0.43945489	0.42391916	0.40882089	0.39417378	0.37998893	0.36626345	0.35299114	0.33926701	0.32518519	0.31166977	0.29871182	0.28630181	0.27369826	0.26097771	0.24886771	0.23733603	0.22635052	0.21587891	0.20534934	0.19481312	0.18480330	0.17528426	0.16622014	0.15715390	0.14812111	0.13954506	0.13140660	0.12334542	0.11539826	0.10791273	0.10088811	0.09406072	0.08749035	0.08146008	0.07596820	0.07083279	0.06611569	0.06201390	0.05839214	0.05528135	0.05278063	0.05084989	0.04939247	0.04838753	0.04781329	0.04759150	0.04767159	0.04798867	0.04846870	0.04903841	0.04965633	0.05026487	0.05082059	0.05132269	0.05175542	0.05212258	0.05243677	0.05269637	0.05288514	0.05297274	0.05296253	0.05289738	
frame_3	1.00000000	0.99918004	0.99835973	0.99753862	0.99671624	0.99589217	0.99506590	0.99423700	0.99340503	0.99256951	0.99173000	0.99088602	0.99003712	0.98918288	0.98832279	0.98745645	0.98658334	0.98570306	0.98481511	0.98391907	0.98301445	0.98210082	0.98117770	0.98024467	0.97930125	0.97834696	0.97738139	0.97640406	0.97541451	0.97441227	0.97339692	0.97236798	0.97132500	0.97026752	0.96919509	0.96755740	0.96531719	0.96300894	0.96062899	0.95817370	0.95563939	0.95302242	0.95031912	0.94752585	0.94463896	0.94165478	0.93856992	0.93538458	0.93210116	0.92872213	0.92524996	0.92168714	0.91803611	0.91429936	0.91047935	0.90559103	0.89956519	0.89337287	0.88702238	0.88052206	0.87388024	0.86710527	0.86020544	0.85318916	0.84606468	0.83884041	0.83152462	0.82412570	0.81665138	0.80910643	0.80021945	0.78995845	0.77959416	0.76913514	0.75858989	0.74796692	0.73727478	0.72652199	0.71571707	0.70486857	0.69398499	0.68170965	0.66804580	0.65437227	0.64070597	0.62706387	0.61346284	0.59991986	0.58645186	0.57307593	0.55848870	0.54275217	0.52722880	0.51194617	0.49692033	0.48216155	0.46768047	0.45348761	0.43844914	0.42266090	0.40731151	0.39241713	0.37799128	0.36403327	0.35053909	0.33659154	0.32229064	0.30857920	0.29545154	0.28290131	0.27018315	0.25738070	0.24523026	0.23370051	0.22276018	0.21237791	0.20199024	0.19165239	0.18188671	0.17265298	0.16391079	0.15521691	0.14660464	0.13847111	0.13078781	0.12320583	0.11575099	0.10873980	0.10216321	0.09576570	0.08959262	0.08389988	0.07868371	0.07376944	0.06921180	0.06519920	0.06160322	0.05845992	0.05587917	0.05383369	0.05223484	0.05107437	0.05035029	0.04999184	0.04995418	0.05017798	0.05059277	0.05111666	0.05169132	0.05224150	0.05270348	0.05304898	0.05323440	0.05324410	0.05307326	0.05272860	0.05220612	0.05150640	0.05065652	0.04971405	
frame_4	1.00000000	0.99915975	0.99831914	0.99747771	0.99663498	0.99579051	0.99494380	0.99409440	0.99324186	0.99238569	0.99152544	0.99066062	0.98979078	0.98891547	0.98803419	0.98714650	0.98625191	0.98534999	0.98444022	0.98352220	0.98259539	0.98165940	0.98071369	0.97975785	0.97879140	0.97781384	0.97682475	0.97582364	0.97481005	0.97378349	0.97274353	0.97168969	0.97062149	0.96953848	0.96844019	0.96676307	0.96446907	0.96210553	0.95966871	0.95715491	0.95456037	0.95188138	0.94911415	0.94625500	0.94330018	0.94024595	0.93708884	0.93382909	0.93046915	0.92701159	0.92345895	0.91981380	0.91607866	0.91225611	0.90834867	0.90334891	0.89718639	0.89085441	0.88436156	0.87771645	0.87092766	0.86400383	0.85695350	0.84978537	0.84250795	0.83512990	0.82765979	0.82010625	0.81247728	0.80477782	0.79571092	0.78524502	0.77467691	0.76401547	0.75326953	0.74244791	0.73155947	0.72061309	0.70961758	0.69858182	0.68751464	0.67503752	0.66115592	0.64727195	0.63340292	0.61956621	0.60577913	0.59205905	0.57842332	0.56488945	0.55014028	0.53424181	0.51857258	0.50316079	0.48802257	0.47316802	0.45860758	0.44435162	0.42926291	0.41344138	0.39808002	0.38319470	0.36879850	0.35488973	0.34146325	0.32760742	0.31342470	0.29985075	0.28687821	0.27449901	0.26197804	0.24939945	0.23748586	0.22620342	0.21551833	0.20539666	0.19528750	0.18524502	0.17577539	0.16683678	0.15838717	0.14999607	0.14169555	0.13386892	0.12648844	0.11921951	0.11208845	0.10539972	0.09914652	0.09308933	0.08727672	0.08195367	0.07711725	0.07260831	0.06848316	0.06491543	0.06178963	0.05913664	0.05704372	0.05547662	0.05435223	0.05364844	0.05333516	0.05334053	0.05360429	0.05405000	0.05459007	0.05513471	0.05562470	0.05598082	0.05615547	0.05612950	0.05587552	0.05539856	0.05471862	0.05388072	0.05289261	0.05178014	0.05057141	0.04929613	
frame_5	1.00000000	0.99914278	0.99828528	0.99742710	0.99656784	0.99570714	0.99484458	0.99397977	0.99311234	0.99224186	0.99136798	0.99049027	0.98960835	0.98872185	0.98783035	0.98693348	0.98603082	0.98512201	0.98420662	0.98328430	0.98235462	0.98141722	0.98047168	0.97951763	0.97855468	0.97758239	0.97660043	0.97560838	0.97460585	0.97359243	0.97256775	0.97153142	0.97048304	0.96942222	0.96834856	0.96671314	0.96448399	0.96219643	0.95984732	0.95743354	0.95495192	0.95239934	0.94977264	0.94706869	0.94428436	0.94141649	0.93846191	0.93541755	0.93228020	0.92904679	0.92571633	0.92229095	0.91877301	0.91516489	0.91146891	0.90672901	0.90087132	0.89483590	0.88863071	0.88226373	0.87574291	0.86907624	0.86227161	0.85533711	0.84828059	0.84111009	0.83383353	0.82645891	0.81899415	0.81144728	0.80254940	0.79227302	0.78189848	0.77143579	0.76089306	0.75027836	0.73959981	0.72886553	0.71808361	0.70726216	0.69640929	0.68417234	0.67055520	0.65693172	0.64331777	0.62972924	0.61618188	0.60269023	0.58926762	0.57592744	0.56136404	0.54562940	0.53007660	0.51472844	0.49960815	0.48473857	0.47014294	0.45584423	0.44070561	0.42481707	0.40936402	0.39435112	0.37978395	0.36566770	0.35200759	0.33788422	0.32341021	0.30954272	0.29626566	0.28356193	0.27067355	0.25768923	0.24536234	0.23366883	0.22258339	0.21207562	0.20157592	0.19114029	0.18129454	0.17199547	0.16320000	0.15446922	0.14584513	0.13772255	0.13006774	0.12252863	0.11512824	0.10818353	0.10168376	0.09537476	0.08930014	0.08370887	0.07859394	0.07378349	0.06933098	0.06542083	0.06193519	0.05890917	0.05644372	0.05450927	0.05303430	0.05201318	0.05143266	0.05122161	0.05133551	0.05171579	0.05228881	0.05294645	0.05362015	0.05424196	0.05472571	0.05501655	0.05507879	0.05488865	0.05442394	0.05370511	0.05273713	0.05154024	0.05016259	0.04867090	
frame_6	1.00000000	0.99916914	0.99833792	0.99750590	0.99667259	0.99583758	0.99500036	0.99416049	0.99331753	0.99247098	0.99162042	0.99076535	0.98990534	0.98903993	0.98816864	0.98729104	0.98640664	0.98551501	0.98461565	0.98370814	0.98279199	0.98186677	0.98093199	0.97998722	0.97903199	0.97806580	0.97708826	0.97609887	0.97509717	0.97408269	0.97305501	0.97201364	0.97095812	0.96988800	0.96880282	0.96714579	0.96487939	0.96254446	0.96013730	0.95765425	0.95509162	0.95244574	0.94971289	0.94688942	0.94397165	0.94095588	0.93783872	0.93462038	0.93130332	0.92789008	0.92438319	0.92078520	0.91709862	0.91332600	0.90946986	0.90453610	0.89845553	0.89220841	0.88580328	0.87924870	0.87255320	0.86572535	0.85877364	0.85170672	0.84453303	0.83726118	0.82989968	0.82245712	0.81494143	0.80735746	0.79842804	0.78812273	0.77771875	0.76722480	0.75664956	0.74600167	0.73528986	0.72452280	0.71370917	0.70285766	0.69197695	0.67971205	0.66606900	0.65242598	0.63879965	0.62520672	0.61166381	0.59818763	0.58479486	0.57150233	0.55701597	0.54139998	0.52600769	0.51086617	0.49599046	0.48138965	0.46707314	0.45305027	0.43820065	0.42261953	0.40747927	0.39279412	0.37857571	0.36482174	0.35152662	0.33778503	0.32369335	0.31017802	0.29723100	0.28484365	0.27227775	0.25961288	0.24757540	0.23613371	0.22525625	0.21491136	0.20453607	0.19418419	0.18438021	0.17508745	0.16626904	0.15748052	0.14875794	0.14050821	0.13270847	0.12501067	0.11744822	0.11034805	0.10370403	0.09726221	0.09107449	0.08540174	0.08023781	0.07540762	0.07096454	0.06708913	0.06365093	0.06067708	0.05826114	0.05636519	0.05489671	0.05383741	0.05317272	0.05282709	0.05275353	0.05289173	0.05317201	0.05352563	0.05390207	0.05423894	0.05449106	0.05463804	0.05465029	0.05451937	0.05424539	0.05383775	0.05328141	0.05256595	0.05171043	0.05076811	
frame_7	1.00000000	0.99910133	0.99820237	0.99730269	0.99640190	0.99549962	0.99459539	0.99368882	0.99277954	0.99186710	0.99095112	0.99003117	0.98910685	0.98817778	0.98724351	0.98630368	0.98535784	0.98440562	0.98344658	0.98248034	0.98150647	0.98052459	0.97953426	0.97853512	0.97752673	0.97650866	0.97548056	0.97444200	0.97339256	0.97233183	0.97125943	0.97017494	0.96907795	0.96796805	0.96684484	0.96513418	0.96280290	0.96041104	0.95795536	0.95543260	0.95283949	0.95017280	0.94742923	0.94460557	0.94169854	0.93870488	0.93562131	0.93244463	0.92917154	0.92579882	0.92232550	0.91875385	0.91508640	0.91132567	0.90747417	0.90253600	0.89643514	0.89015134	0.88369310	0.87706895	0.87028739	0.86335694	0.85628606	0.84908337	0.84175727	0.83431634	0.82676906	0.81912396	0.81138951	0.80357429	0.79436576	0.78373861	0.77301893	0.76221733	0.75134232	0.74040240	0.72940613	0.71836204	0.70727864	0.69616449	0.68502809	0.67248367	0.65853990	0.64460639	0.63069982	0.61683692	0.60303424	0.58930664	0.57566728	0.56212940	0.54737030	0.53144792	0.51573398	0.50025097	0.48502183	0.47006910	0.45541573	0.44108439	0.42593770	0.41006978	0.39466509	0.37972554	0.36525396	0.35125282	0.33772457	0.32375797	0.30946513	0.29578971	0.28271257	0.27021362	0.25754477	0.24479116	0.23268899	0.22120992	0.21032517	0.20000398	0.18968632	0.17942618	0.16973986	0.16058463	0.15191794	0.14330890	0.13480303	0.12679512	0.11925745	0.11185000	0.10460413	0.09783724	0.09154359	0.08548476	0.07971471	0.07447900	0.06977044	0.06543129	0.06151558	0.05818590	0.05534037	0.05300410	0.05124024	0.05000291	0.04922670	0.04888925	0.04894072	0.04931297	0.04994174	0.05075970	0.05168945	0.05261350	0.05347728	0.05422778	0.05479640	0.05515310	0.05528337	0.05518702	0.05486681	0.05434812	0.05364127	0.05276741	0.05176320	0.05067622	
frame_8	1.00000000	0.99914024	0.99828020	0.99741947	0.99655766	0.99569440	0.99482926	0.99396185	0.99309180	0.99221868	0.99134214	0.99046173	0.98957708	0.98868782	0.98779352	0.98689381	0.98598826	0.98507652	0.98415815	0.98323280	0.98230002	0.98135948	0.98041072	0.97945340	0.97848710	0.97751141	0.97652596	0.97553035	0.97452418	0.97350703	0.97247856	0.97143833	0.97038597	0.96932106	0.96824323	0.96660136	0.96436325	0.96206628	0.95970731	0.95728317	0.95479070	0.95222673	0.94958807	0.94687160	0.94407413	0.94119250	0.93822352	0.93516407	0.93201095	0.92876103	0.92541333	0.92196997	0.91843329	0.91480565	0.91108938	0.90632301	0.90043190	0.89436124	0.88811895	0.88171296	0.87515120	0.86844164	0.86159212	0.85461070	0.84750521	0.84028364	0.83295389	0.82552392	0.81800161	0.81039498	0.80142451	0.79106135	0.78059589	0.77003819	0.75939640	0.74867866	0.73789317	0.72704809	0.71615159	0.70521184	0.69423699	0.68185851	0.66807887	0.65428751	0.64050038	0.62673352	0.61300279	0.59932307	0.58570814	0.57217191	0.55738910	0.54141138	0.52561243	0.51001591	0.49464589	0.47952605	0.46468050	0.45013306	0.43472732	0.41855510	0.40282391	0.38753983	0.37270988	0.35834067	0.34443885	0.33007065	0.31535352	0.30126303	0.28778393	0.27489995	0.26184482	0.24871283	0.23626912	0.22449082	0.21335338	0.20282565	0.19233838	0.18195158	0.17218977	0.16300821	0.15436224	0.14582050	0.13742628	0.12956249	0.12219171	0.11497246	0.10792635	0.10135325	0.09523921	0.08934358	0.08370752	0.07855969	0.07389075	0.06954483	0.06557409	0.06214426	0.05915298	0.05663347	0.05466797	0.05322539	0.05224833	0.05172611	0.05162405	0.05187958	0.05243978	0.05323616	0.05418367	0.05515374	0.05607869	0.05688507	0.05747976	0.05781036	0.05784647	0.05757391	0.05698301	0.05611983	0.05501409	0.05371332	0.05226477	0.05071924	
frame_9	1.00000000	0.99908837	0.99817644	0.99726379	0.99635000	0.99543469	0.99451741	0.99359775	0.99267534	0.99174971	0.99082049	0.98988723	0.98894954	0.98800702	0.98705923	0.98610578	0.98514622	0.98418019	0.98320723	0.98222696	0.98123894	0.98024279	0.97923806	0.97822437	0.97720129	0.97616839	0.97512530	0.97407158	0.97300681	0.97193058	0.97084250	0.96974214	0.96862908	0.96750292	0.96636324	0.96462748	0.96226194	0.95983490	0.95734303	0.95478305	0.95215164	0.94944551	0.94666131	0.94379577	0.94084559	0.93780744	0.93467799	0.93145398	0.92813208	0.92470901	0.92118379	0.91755873	0.91383638	0.91001931	0.90611006	0.90109780	0.89490532	0.88852707	0.88197167	0.87524779	0.86836405	0.86132912	0.85415157	0.84684014	0.83940339	0.83185002	0.82418861	0.81642787	0.80857636	0.80064281	0.79129478	0.78050655	0.76962433	0.75865897	0.74761926	0.73651395	0.72535183	0.71414172	0.70289237	0.69161260	0.68031116	0.66758209	0.65343484	0.63930011	0.62519508	0.61113698	0.59714288	0.58322813	0.56940646	0.55569163	0.54074474	0.52462650	0.50872700	0.49306969	0.47767842	0.46257670	0.44778840	0.43333713	0.41807818	0.40211029	0.38662769	0.37163267	0.35712846	0.34311787	0.32960378	0.31567896	0.30146153	0.28789300	0.27495289	0.26261970	0.25015686	0.23765312	0.22583146	0.21466156	0.20411239	0.19415011	0.18423301	0.17441444	0.16518569	0.15649954	0.14830896	0.14020334	0.13222514	0.12474136	0.11772048	0.11084126	0.10412909	0.09787648	0.09207762	0.08651343	0.08123526	0.07646846	0.07220706	0.06831141	0.06483556	0.06192786	0.05950226	0.05758017	0.05620699	0.05533392	0.05490258	0.05487828	0.05518734	0.05575416	0.05649427	0.05731938	0.05812930	0.05879077	0.05922962	0.05938881	0.05921976	0.05868130	0.05777838	0.05653959	0.05500483	0.05329387	0.05147118	0.04963799	0.04781242	0.04596955	
