# DATA=SAXS PRIOR=GAUSS
0.008210	0.00417123	0.00045676
0.008666	0.00450951	0.00039582
0.009122	0.00435725	0.00034470
0.009578	0.00419321	0.00030933
0.010034	0.00383101	0.00027775
0.010490	0.00398935	0.00026736
0.010946	0.00455484	0.00024642
0.011402	0.00440511	0.00022642
0.011859	0.00417895	0.00021844
0.012315	0.00412838	0.00020379
0.012771	0.00458074	0.00020224
0.013227	0.00427024	0.00018977
0.013683	0.00455247	0.00018070
0.014139	0.00421199	0.00017548
0.014595	0.00434843	0.00017173
0.015051	0.00454004	0.00016577
0.015507	0.00463760	0.00015996
0.015963	0.00465192	0.00015771
0.016420	0.00438154	0.00015266
0.016876	0.00464899	0.00014948
0.017332	0.00443543	0.00014448
0.017788	0.00432179	0.00014149
0.018244	0.00444941	0.00014166
0.018700	0.00456112	0.00013831
0.019156	0.00427063	0.00013302
0.019612	0.00461282	0.00013190
0.020068	0.00462304	0.00012987
0.020524	0.00452888	0.00012933
0.020980	0.00443148	0.00012617
0.021437	0.00446697	0.00012464
0.021893	0.00433265	0.00012127
0.022349	0.00449913	0.00012100
0.022805	0.00427791	0.00012011
0.023261	0.00427998	0.00011620
0.023717	0.00447948	0.00011626
0.024401	0.00445659	0.00008050
0.025313	0.00441424	0.00007828
0.026225	0.00420637	0.00007781
0.027138	0.00418446	0.00007535
0.028050	0.00432848	0.00007385
0.028962	0.00408501	0.00007214
0.029874	0.00412624	0.00007114
0.030786	0.00413942	0.00006972
0.031699	0.00416958	0.00006867
0.032611	0.00411320	0.00006709
0.033523	0.00404880	0.00006606
0.034435	0.00414807	0.00006549
0.035347	0.00400672	0.00006398
0.036259	0.00404266	0.00006347
0.037172	0.00390569	0.00006261
0.038084	0.00394000	0.00006171
0.038996	0.00393484	0.00006067
0.039908	0.00395299	0.00006043
0.040820	0.00379864	0.00005892
0.041732	0.00373530	0.00005842
0.042872	0.00376386	0.00004709
0.044241	0.00371124	0.00004629
0.045609	0.00360617	0.00004549
0.046977	0.00358407	0.00004460
0.048345	0.00348243	0.00004381
0.049713	0.00345364	0.00004335
0.051082	0.00344181	0.00004254
0.052450	0.00337494	0.00004191
0.053818	0.00331945	0.00004149
0.055186	0.00333592	0.00004107
0.056554	0.00323772	0.00004074
0.057923	0.00316029	0.00004129
0.059291	0.00306429	0.00004184
0.060659	0.00307774	0.00004348
0.062027	0.00299054	0.00004375
0.063623	0.00291605	0.00003853
0.065447	0.00279210	0.00003900
0.067271	0.00272493	0.00003934
0.069096	0.00271954	0.00004084
0.070920	0.00265224	0.00003851
0.072744	0.00256968	0.00003757
0.074568	0.00251612	0.00003685
0.076392	0.00246306	0.00003649
0.078216	0.00235769	0.00003581
0.080040	0.00235231	0.00003561
0.081864	0.00238159	0.00003524
0.083916	0.00222253	0.00003109
0.086196	0.00220562	0.00003081
0.088476	0.00212750	0.00003032
0.090756	0.00205143	0.00003010
0.093036	0.00198790	0.00002978
0.095316	0.00194945	0.00002954
0.097596	0.00187389	0.00002903
0.099875	0.00184680	0.00002884
0.102155	0.00183287	0.00002856
0.104663	0.00171611	0.00002583
0.107399	0.00167746	0.00002820
0.110134	0.00166095	0.00002858
0.112870	0.00159702	0.00002675
0.115605	0.00156947	0.00002617
0.118341	0.00152524	0.00002576
0.121076	0.00146568	0.00002512
0.123811	0.00142393	0.00002426
0.126775	0.00135566	0.00002249
0.129966	0.00130912	0.00002405
0.133157	0.00125458	0.00002375
0.136348	0.00127553	0.00002421
0.139539	0.00119258	0.00002427
0.142729	0.00112196	0.00002376
0.145920	0.00108867	0.00002351
0.149338	0.00109767	0.00002186
0.152985	0.00101399	0.00002177
0.156631	0.00098274	0.00002161
0.160277	0.00095486	0.00002148
0.163923	0.00093601	0.00002143
0.167796	0.00093088	0.00001997
0.171898	0.00087682	0.00001989
0.175999	0.00083779	0.00001979
0.180100	0.00083879	0.00001968
0.184200	0.00079012	0.00002011
0.188301	0.00078797	0.00002153
0.192629	0.00073876	0.00002111
0.197185	0.00071119	0.00002013
0.201740	0.00068325	0.00001938
0.206295	0.00066905	0.00001905
0.210850	0.00066103	0.00001875
0.215633	0.00061033	0.00001753
0.220643	0.00059104	0.00001732
0.225652	0.00058784	0.00001713
0.230661	0.00055982	0.00001676
0.235898	0.00052437	0.00001589
0.241361	0.00050838	0.00001573
0.246825	0.00046288	0.00001559
0.252287	0.00050245	0.00001547
0.257977	0.00047350	0.00001473
0.263894	0.00046074	0.00001459
0.269811	0.00042362	0.00001448
0.275727	0.00042737	0.00001435
0.281870	0.00041413	0.00001369
0.288239	0.00038259	0.00001352
0.294608	0.00040065	0.00001347
0.301204	0.00036322	0.00001291
0.308026	0.00035553	0.00001286
0.314847	0.00034844	0.00001388
0.321668	0.00032424	0.00001459
0.328714	0.00030991	0.00001310
0.335987	0.00031402	0.00001265
0.343259	0.00029410	0.00001299
0.350757	0.00030396	0.00001306
0.358482	0.00028224	0.00001323
0.366431	0.00027625	0.00001301
0.374607	0.00025346	0.00001309
0.382781	0.00027753	0.00001316
0.391180	0.00026039	0.00001283
0.399805	0.00024614	0.00001285
0.408428	0.00022993	0.00001294
0.417276	0.00022876	0.00001268
0.426348	0.00021912	0.00001276
0.435646	0.00023699	0.00001373
0.445167	0.00021481	0.00001652
0.454686	0.00019841	0.00001853
0.464430	0.00019840	0.00001945
0.474397	0.00019606	0.00002038
0.484587	0.00019858	0.00002167
0.495001	0.00016323	0.00002400
