# label exp_avg exp_sigma calc_avg calc_avg_rew
0.008210	4.171e-03	4.568e-04	5.071e-03	4.727e-03
0.008666	4.510e-03	3.958e-04	5.061e-03	4.717e-03
0.009122	4.357e-03	3.447e-04	5.050e-03	4.707e-03
0.009578	4.193e-03	3.093e-04	5.040e-03	4.698e-03
0.010034	3.831e-03	2.778e-04	5.029e-03	4.688e-03
0.010490	3.989e-03	2.674e-04	5.018e-03	4.678e-03
0.010946	4.555e-03	2.464e-04	5.008e-03	4.668e-03
0.011402	4.405e-03	2.264e-04	4.997e-03	4.658e-03
0.011859	4.179e-03	2.184e-04	4.986e-03	4.648e-03
0.012315	4.128e-03	2.038e-04	4.976e-03	4.638e-03
0.012771	4.581e-03	2.022e-04	4.965e-03	4.628e-03
0.013227	4.270e-03	1.898e-04	4.954e-03	4.618e-03
0.013683	4.552e-03	1.807e-04	4.943e-03	4.608e-03
0.014139	4.212e-03	1.755e-04	4.932e-03	4.598e-03
0.014595	4.348e-03	1.717e-04	4.921e-03	4.587e-03
0.015051	4.540e-03	1.658e-04	4.910e-03	4.577e-03
0.015507	4.638e-03	1.600e-04	4.898e-03	4.566e-03
0.015963	4.652e-03	1.577e-04	4.887e-03	4.556e-03
0.016420	4.382e-03	1.527e-04	4.875e-03	4.545e-03
0.016876	4.649e-03	1.495e-04	4.863e-03	4.534e-03
0.017332	4.435e-03	1.445e-04	4.851e-03	4.523e-03
0.017788	4.322e-03	1.415e-04	4.839e-03	4.512e-03
0.018244	4.449e-03	1.417e-04	4.827e-03	4.501e-03
0.018700	4.561e-03	1.383e-04	4.815e-03	4.489e-03
0.019156	4.271e-03	1.330e-04	4.802e-03	4.478e-03
0.019612	4.613e-03	1.319e-04	4.790e-03	4.466e-03
0.020068	4.623e-03	1.299e-04	4.777e-03	4.454e-03
0.020524	4.529e-03	1.293e-04	4.764e-03	4.442e-03
0.020980	4.431e-03	1.262e-04	4.751e-03	4.430e-03
0.021437	4.467e-03	1.246e-04	4.737e-03	4.417e-03
0.021893	4.333e-03	1.213e-04	4.723e-03	4.404e-03
0.022349	4.499e-03	1.210e-04	4.710e-03	4.391e-03
0.022805	4.278e-03	1.201e-04	4.695e-03	4.378e-03
0.023261	4.280e-03	1.162e-04	4.681e-03	4.365e-03
0.023717	4.479e-03	1.163e-04	4.667e-03	4.352e-03
0.024401	4.457e-03	8.050e-05	4.644e-03	4.331e-03
0.025313	4.414e-03	7.828e-05	4.613e-03	4.302e-03
0.026225	4.206e-03	7.781e-05	4.582e-03	4.273e-03
0.027138	4.184e-03	7.535e-05	4.549e-03	4.242e-03
0.028050	4.328e-03	7.385e-05	4.515e-03	4.211e-03
0.028962	4.085e-03	7.214e-05	4.480e-03	4.178e-03
0.029874	4.126e-03	7.114e-05	4.444e-03	4.145e-03
0.030786	4.139e-03	6.972e-05	4.407e-03	4.111e-03
