NM1,NM2,NM3,RMSD
-0.039381254773019556,-0.04158601925257271,-0.022390665490086673,2.0169948357703213
-0.046160479360547554,-0.026551298149743843,-0.053234483068869146,1.962294216242839
-0.0665695124997786,-0.03436264765264439,-0.002076647594022324,1.971520483316412
-0.12381196032049983,-0.04129427865513,-0.03165536432757982,2.3297992288442466
-0.052352738037194084,-0.014871104374148715,-0.03689594743402922,1.9968679218987455
-0.06303271293732973,-0.024153493850726356,-0.03748001359182265,2.130124071397854
-0.07029251005595269,-0.02417017413867066,-0.0719480177629685,2.214932555915745
-0.06103865304270505,-0.026967532041198373,-0.06478062830924969,2.1128634196944622
-0.06241573268115966,-0.015484284992148753,-0.03326857761470487,2.0280692609070017
-0.05936657261285561,-0.016279105246620233,-0.027452480370684228,2.0382826704713173
-0.07548641636869732,-0.003082195508283458,-0.04140872277368838,2.166637177044692
-0.09558258349500783,-0.030077526588608065,-0.05739896322271482,2.2096301122088984
-0.05688628605098089,-0.020498141342942318,-0.0315396421543735,2.0090207731177117
-0.0684354212858536,-0.0344299618258362,-0.048365956999633225,2.050276032415456
-0.0899628973131123,-0.047805089448798084,-0.021164495742041906,2.1352947506216697
-0.05584390754690319,-0.048305756761777605,-0.028293474032718535,2.151602980368573
-0.07959349526478197,-0.042331753475481716,-0.04262575174023705,2.156955625069821
-0.08817196494480102,-0.02083823592308696,-0.10103057274238117,2.351039559090533
-0.0754756469407884,-0.012260728950172495,-0.0759623942311189,2.1540540085037363
-0.10032474236683281,-0.012296807376588118,-0.0756219886422094,2.321484780616409
-0.0530380473295836,-0.014980424666637782,-0.05852379540375715,1.9200820983821751
-0.04948590670247334,-0.04740667401135973,-0.023092272377479052,2.1134292550495486
-0.03654218304373868,-0.029646907511009114,-0.02533170247186185,2.0286256212196383
-0.053753145198458974,-0.01336281367825222,-0.04366284771164486,2.0447162314558915
-0.07106979079636119,-0.04502528298895707,-0.054371084934000696,2.2722803062131303
-0.08756628922551786,-0.011928076775790329,-0.03916354787796504,2.159773181198261
-0.05702295730582334,-0.015075132387534398,-0.04593600009090829,2.0711007297098547
-0.06624139723402586,-0.02841271220509347,-0.0654943249235781,2.281980714988571
-0.09565629571154893,-0.04132365535573446,-0.1147619243164961,2.4732585500782527
-0.04758663661810447,-0.04341862348135209,-0.09036130918141486,2.2594807782179736
-0.07861452976121862,-0.036874763715612456,-0.08743669262391279,2.311152999703027
-0.08508982444050942,-0.028907825482545686,-0.07703262237497278,2.291426560792768
-0.09598688146532755,-0.014027430353317098,-0.05842315535361581,2.3505391860199327
-0.09867136019221018,-0.03986712507678079,-0.054070821070405624,2.2757540337073787
-0.06576874608324365,-0.05015880230827378,-0.030345304664865732,2.1134259447605834
-0.04407255726844292,-0.030619431378711984,-0.047792655819948786,1.9823607630782123
-0.04998686124559074,-0.0266091543754147,-0.030299930643426187,1.9016107653329544
-0.020923313632862026,-0.054714862480905506,-0.05150660772753777,2.106184478952422
-0.04530003669973425,-0.011645311233040613,-0.05185963137177162,1.9748984278519668
-0.09726369551918437,-0.014572738384427138,-0.08111879616179805,2.326975579433192
-0.08311142560890955,-0.048030189153854645,-0.10918318932248013,2.46884482842368
-0.09372301453054001,-0.014613973076824284,-0.08802238174581581,2.3268713865652404
-0.09356483396438332,-0.02423329255157807,-0.0812638004765531,2.3476283309615087
-0.07617006150237383,-0.03329125268570069,-0.09513962235452361,2.3015132669493483
-0.08843284178544665,-0.017242430937131386,-0.08013676300998036,2.2431976351314
-0.08505114649858345,-0.0026347901031974733,-0.10927887853611024,2.39457809193142
-0.09360924918433204,-0.024734971003561583,-0.04702395644857712,2.3579702654876447
-0.07945824856825524,-0.02314829078423523,-0.08946699466959368,2.368294877404014
-0.09218519278275457,-0.034438005123775,-0.09248343469340217,2.3906935534695237
-0.1042767881728815,-0.01965202713029074,-0.09815679298392849,2.43562788493466
-0.10584954952579977,-0.013344006167732311,-0.08651423659688447,2.4264707808996273
-0.09846975268208215,0.01472144336991246,-0.07970115796964304,2.252958163539743
-0.08530778314130903,-0.002777912649747151,-0.12172993280637473,2.3898405805073084
-0.07998723023836947,-0.03161369812008334,-0.12545345498136962,2.4858870663600707
-0.10447513782663433,-0.018676847674781297,-0.08617044979806698,2.375067875252323
-0.07011689791233963,-0.03108447211366145,-0.10914913516976933,2.4078119123563515
-0.054788205196851424,-0.01582906914399813,-0.08414160159685567,2.271987395464466
-0.05124642319802976,0.018034971849942207,-0.09118381488281399,2.3627203316453356
-0.05253321275689963,0.020105128838221645,-0.08324068195603793,2.2746014930130776
-0.05568109967385245,0.0009139180499424153,-0.1304021122619542,2.5036511765859104
-0.0579541555220028,-0.03662051209327172,-0.10790083997032307,2.424417975770936
-0.04707434342431518,-0.00659778602623209,-0.10364351635041359,2.462318142180164
-0.08373923484400904,-0.013682599207831702,-0.10241995146547425,2.4633308828660962
-0.051566887788111596,0.009533329765755412,-0.08304755820976975,2.309609543431064
-0.06883733848509274,0.0030681875025747713,-0.05263650399152176,2.203705289473634
-0.07293862187627677,-0.00821489150047538,-0.07550799413122468,2.2174302732369755
-0.060234442744501134,0.017937954034054234,-0.1155845021389683,2.3800549001193962
-0.0435574174725041,0.0054282498957069734,-0.11031760249080748,2.2631881630614004
-0.07409630766053861,0.0023866127100361004,-0.10103308246966813,2.3589337859468067
-0.021444690092809207,-0.013896958027970982,-0.10366356842291845,2.2721713577605027
-0.011474496412058112,0.0031514715464046605,-0.09740731547624111,2.2449589245843886
-0.053272969617998434,0.0008302225970549651,-0.1243386838907816,2.4801821409571807
-0.06711403337058339,-0.010416218075241556,-0.0946566423192524,2.3550366565598293
-0.0378337882545839,-0.005355315033630262,-0.12676316787649158,2.500149298144304
-0.008327224842373056,0.0021378621661999834,-0.1104383873332681,2.2570638717008356
-0.046083379318056374,0.021971334122023248,-0.11192149706593674,2.3853484014550217
-0.057213525128446845,-0.01659973660489449,-0.08249222704639855,2.301429797153726
-0.031470469556682444,-0.01774895597221367,-0.10237534669577578,2.3424582729705987
-0.04670916117165337,0.001849654408245121,-0.10629154290825386,2.2507056401640084
-0.01057104189599626,-0.03304861252213821,-0.10548506856015723,2.2504332751565985
-0.03403373365002711,-0.006445402477322905,-0.08296555762068135,2.2201309948056487
-0.0018913119007468197,-0.01294384001471098,-0.09513638009274214,2.187928146469071
-0.0617923869820001,-0.007711610255145489,-0.08005555866226069,2.264875814809846
-0.04628033606809817,-0.0032823171403230634,-0.07388974960531391,2.134207979326784
-0.06148401477030406,-0.026197512342094734,-0.09625596704267693,2.362856556103411
-0.03805773211363995,-0.0003447418525778279,-0.06589318144421742,2.158521938130636
-0.06993357036065845,-0.02282107920146733,-0.10226943043618741,2.4228816736832077
-0.009320795923270432,0.0064424376412039585,-0.1111875157317302,2.2623984487675504
-0.06264076481336049,-0.01118016048743613,-0.07280625682990417,2.3975106276948095
-0.07567772688349939,0.008358847670321478,-0.07788629032372477,2.355537103441275
-0.01799746670819437,0.006131252884242856,-0.13021275256681294,2.457504026286216
-0.05461337010179896,-0.00042698871385386886,-0.08836254545017849,2.3385219254513787
-0.0470654268243503,-0.0172349991929285,-0.12220838892227204,2.447584884027097
-0.019478521904730886,0.023559318471708456,-0.08202732841288417,2.193488450813142
-0.05786248912432468,0.016498166681805707,-0.08021366636807965,2.2522908450875083
-0.03454125770287623,0.020489403808464087,-0.07776820268969052,2.2021529397486144
-0.062211236942477606,0.006383963466817684,-0.07896039099435362,2.3379586330837396
-0.020092200408644355,0.011482174752469826,-0.1053979508146978,2.2675994880142127
-0.007479438331953059,0.001652748867697377,-0.10005824488381732,2.288853769034666
-0.011442038360486672,0.023196425239669145,-0.09331490464313097,2.231721739369332
-0.05861650412510313,-0.00973058662062937,-0.10101151670604079,2.399274637390259
-0.038274905769018354,-0.00044430169288198966,-0.0967615025151583,2.290917474981087
-0.03836921257346705,0.007644718294276651,-0.09232684974948799,2.2972781640655326
-0.03162987544802787,0.013526535207556574,-0.10942006560488872,2.2832800217066844
-0.03628699219490325,0.005184570751222776,-0.09743785246103384,2.2910854879837057
-0.04256751912472005,0.0034335602486536307,-0.12744051973980203,2.416902886910963
-0.08118784815900482,0.0023118183972457235,-0.11186357561881623,2.4474545844016222
-0.07487895153539213,0.00730226972992359,-0.10208983298370944,2.421475298825129
-0.04881294009569829,0.012255269741680893,-0.07261904394167674,2.1487440270728984
-0.05974141697852602,0.016618979781757446,-0.07315218969419228,2.2279520571065152
-0.04951253018343782,0.02116398010489299,-0.10068408049035281,2.356508052061204
-0.05883928564628172,0.013997523563288879,-0.05674718590220306,2.1849462541538927
-0.09405953519759819,-0.009881460757700173,-0.05264870657632869,2.4374818772639273
-0.08203299940038436,-0.0023820913438136475,-0.07622811381370216,2.4414276474209275
-0.05262690840886963,-0.010331413375841128,-0.08240866749410845,2.1651736839594005
-0.044850421166178066,0.00044151341181191203,-0.07584837722212076,2.122353914086086
-0.0525243385624632,0.018313123418854254,-0.0533579527449551,2.089611080676673
-0.07755457526622891,0.011195863056102089,-0.06993612476272422,2.241594046708533
-0.07000961443676817,-0.037702534853302036,-0.09619681857858946,2.2205436602433957
-0.04584875626099131,-0.007898485733142306,-0.13203073286780184,2.4817855615134485
-0.04293636576128956,0.014596809909708809,-0.11602258438568477,2.3671431797916136
-0.06751764707442069,0.0010034114436839288,-0.09326329250560961,2.3640729097088675
-0.07073187715565833,-0.017794166264658642,-0.07780208229792761,2.441752790959258
-0.08330736086398673,-0.007169255322490886,-0.08522835119074956,2.420281944950678
-0.08074991147397807,-0.020325852256664164,-0.10071754522720035,2.4640563404257585
-0.06678805805581986,-0.013537815104966175,-0.09701153560007666,2.4313642400209194
-0.05607951072375049,0.0028877400069768615,-0.08870723716002653,2.4176196019582044
-0.08979639706423112,-0.01777311536746095,-0.0717778449133765,2.306685681018018
-0.05963318852770336,-0.01910202961296859,-0.09178589846372275,2.3027086401534875
-0.057724473536082226,-0.012703863033709146,-0.0912572443515018,2.275128876012134
-0.09096676443627874,0.005644911338926215,-0.076546130109724,2.4221903167499463
-0.06921240765931953,0.0063446417158917485,-0.08715304600698189,2.448217842206234
-0.09503216547130179,0.0008058873158903273,-0.07167782781225947,2.5278994793428873
-0.11664476045784164,-0.0080191745992505,-0.06453460425890535,2.6301914085258624
-0.11481897451545854,0.002025205222020739,-0.08771510719063169,2.7491299925452286
-0.13561809742047023,0.0024543852481184424,-0.0728349832012114,2.6093016031756524
-0.08694754421045527,0.008462081763243715,-0.05567336445982361,2.216654124298193
-0.07796193525699714,-0.0007877060086094234,-0.06755577797248777,2.2537597533319476
-0.06672453208710531,0.020612683653482317,-0.05781632662032226,2.2301763074315595
-0.08619772462210537,-0.0005113931397360975,-0.09736368490591607,2.4569655735129836
-0.0543029634411826,-0.009693612893919535,-0.0902227761534206,2.358311920485908
-0.08562824615982312,-0.01133823743005896,-0.06539367750709796,2.421531232141879
-0.09479337157864373,-0.02934503847548025,-0.08283272988062676,2.5954749682444533
-0.060889740011654106,-0.009321602355713493,-0.07933746478558262,2.3536706788414166
-0.03977479554461374,0.01713136172948016,-0.07880194776384021,2.320247167281182
-0.07419584799354023,-0.011409958817477299,-0.10379584836227418,2.514244292563669
-0.07824097403585879,0.006218453645417222,-0.11524739680224269,2.6393781492917396
-0.07639610287992388,0.005796088695164948,-0.1057114574152071,2.490337740729714
-0.11580271962689226,-0.012241053684839727,-0.0920166102479366,2.596916782433018
-0.07070228364361268,-0.0009774019006922026,-0.09474310719358785,2.3750472979403736
-0.08180866445301166,0.013946292475703179,-0.07954902267122452,2.2890633548204224
-0.06789223168816506,0.008858230110031456,-0.09019463276718705,2.4143303685480673
-0.07379200023939168,0.02941457466218879,-0.05926393593250745,2.330373441450723
-0.0982142050275331,0.015542502308948014,-0.06267973568894751,2.368210674934081
-0.1348964453934485,0.0007615380733539646,-0.08557657309477874,2.6454167337064747
