# Result of 'intser'
# Date/time = Wed Aug 31 13:30:49 CEST 2022
# Data set list (full path) = C:\Users\courtade\AppData\Local\Temp\topspin-dataset-list-5509317983641736312.txt
# Region to calibrate = 0
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.282493223750434  8.244991131991164  -0.0  -0.0  # for region 1
#   8.209051627388531  8.17154953562926  -0.0  -0.0  # for region 2
#   8.041854801628451  7.989508131881137  -0.0  -0.0  # for region 3
#   7.968413205266548  7.936380168555505  -0.0  -0.0  # for region 4
#   0.1985472759391555  -0.06027713817956952  -0.0  -0.0  # for region 5

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4;
0;0.9999999999999999;1.0971681521833672;1.6182652857910413;1.2051943838030665;-277.534732961692;
1;1.347296306143309;2.1280305866953055;2.303004076868935;2.554365963295225;-282.00514281378594;
2;1.7975179770242002;1.21117675253239;1.96844544157444;2.1398941580917117;-287.47861910792506;
3;1.8705685100891556;1.5068839187291074;2.1481953269915373;2.1632283570939923;-302.70796010355946;
4;2.5964751029703956;1.382898740790958;1.975379634901551;2.6975862641162123;-304.43854932801673;
5;1.5393989378797197;1.5148087992266963;2.0522498036823213;1.823321491557877;-317.88842000201095;
6;0.8824228284920642;0.6358903878052947;0.6277884666987847;1.5002223802770591;-325.53896466405155;
7;1.1305800948370146;0.4544089588716776;0.05233184689133346;1.0285041549025136;-308.3041884600366;
8;1.3550348930384795;0.2556231983650577;0.6956277138258845;1.2651914105078228;-297.31894698466533;
9;1.0305200737525269;0.07960905485606351;-0.9853765690763723;0.80776535888969;-288.79880599371904;
10;1.3293152723125141;-0.22263812714476677;-1.1670035784410187;1.4976321589639607;-317.511248864195;
11;1.2755029464615626;0.30848740081562054;-0.7052119644907121;2.320940079464708;-308.58334942326087;
12;1.2441180262501257;0.006403071500348221;-3.033315711521272;1.453075294075555;-300.88015091015524;
13;1.7202345078672034;-0.9342161511618366;-1.9215080898922148;0.7282654893568984;-298.47978683570443;
14;1.0061156118356889;-1.0898348464033922;-2.0629586014902253;1.567853126617346;-298.63742638472587;
15;0.8742943821375279;-1.2961870881261268;-2.3107932467952255;0.48093359003193514;-301.2842155651389;
16;1.14770615206863;-1.4670355937985202;-4.6320510123700185;0.505809337750918;-301.71346316722565;
17;0.6386878761727398;-0.8985841069349952;-4.775082552123655;0.45726073146764196;-306.78809904650984;
18;0.45838281114578583;-1.7091185783454044;-4.584806461303672;0.1952085532204427;-307.5577685974374;
19;-0.17819908370689724;-1.564679966713898;-4.251501915061221;-0.10612628362152295;-308.38730193196335;
20;0.8177178786957227;-2.7374549456324946;-5.695657323405077;0.08879234246932786;-309.43547856790804;
21;0.4393136252796717;-3.025644363045518;-5.142322143585485;0.6301584667666401;-312.7376393886362;
22;1.0834046327887843;-2.5615660259688346;-5.353086212607882;-0.021480515971592076;-315.110066825119;
23;0.3630788287190711;-2.289724797467394;-6.196306575115492;-0.30424644546254787;-314.75889598216514;
24;6.575794045636997E-4;-3.0640726619073377;-5.909699419590561;-0.63686503645371;-318.16885972893664;
25;0.2868286105026411;-3.855988876668083;-7.071348599127627;0.14113529295285845;-322.49757849160164;
26;1.2965646102608295;-2.7773230102825432;-7.252042906747715;0.39277230171914446;-321.5041061700811;
27;0.5627886548429859;-2.8412309689056237;-7.140128567260318;0.7635274138438354;-323.3991827756143;
28;0.24134521253200764;-4.278065408794168;-7.306565862499283;-0.1196708155033289;-324.9189875744635;
29;0.3846691468801682;-4.111777395183632;-7.852100768800386;0.8068308065464311;-326.5817640770416;
30;-0.020009906871704775;-4.5659365232308735;-9.193266658318409;-0.6272801689226493;-326.34761954404945;
31;0.9546134500279748;-4.485926505323246;-9.852047718304332;0.3055202742340526;-329.73341200434027;
32;0.2885718744775914;-4.749102613847289;-10.174201790515928;0.031380602147804845;-339.3706755363806;
33;-0.21486314514183913;-5.663443334976253;-10.755585261091717;-0.5704951646940313;-337.1989739047077;
34;-0.13283720838419907;-4.833855099355559;-10.700649004963921;-0.5798209484071588;-338.69550434057925;
35;-0.11959555782288166;-5.618752610115249;-11.685145305925555;-0.3400987109346325;-341.4384105331143;
36;-0.7860929975195808;-5.3953082388037235;-11.766828881923782;-0.7843540516082628;-347.2064392198616;
37;-0.12505790831763922;-5.619581061466402;-11.984037352484151;-0.3640917230739431;-344.9986157521727;
38;-0.5412816136233674;-6.292802343104699;-12.631082532383934;-1.04911488948533;-347.57440301228115;
39;-0.9502269142438731;-6.705392706297032;-12.804581712260278;-0.9589753111627496;-349.66631484729163;
40;-1.3901641912852838;-6.33718895291275;-13.408527682180646;-0.6856165917277004;-351.66778730699025;
41;-0.9215821138401958;-7.154318341222024;-13.231678301791934;-1.5299732218368178;-351.9984522826209;
42;-1.4716941675914519;-6.929463813701462;-14.522251907196175;-0.8668080935317257;-354.8113666239589;
43;-0.5553887275098282;-7.723419388229082;-14.504442362178203;-1.367438222388913;-356.2473565739743;
44;-1.4427279798802908;-6.8577111671911055;-14.711239364455057;-1.427374796202818;-361.5706487643861;
45;-1.380781039012471;-7.363814750135248;-15.477532806488444;-1.7744730882852784;-365.89790123601483;
46;-1.5494063587805047;-8.029797723393479;-14.88250980663094;-1.6785318830396947;-363.51917066036145;
47;-0.27900304546859317;-7.601872065644437;-16.592340865475663;-1.8920780187737067;-365.4021992514945;
48;-1.5087832498610507;-7.725106517376813;-16.70273956462815;-1.985031740852028;-368.4320765506321;
