# Result of 'intser'
# Date/time = Wed Aug 31 13:55:35 CEST 2022
# Data set list (full path) = C:\Users\courtade\AppData\Local\Temp\topspin-dataset-list-7677651933548718135.txt
# Region to calibrate = 0
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.287492252358565  8.244660261150461  -0.0  -0.0  # for region 1
#   8.204318501989341  8.174435717425549  -0.0  -0.0  # for region 2
#   8.041457326116669  8.002111659774343  -0.0  -0.0  # for region 3
#   7.968742550344774  7.921926187861498  -0.0  -0.0  # for region 4
#   0.20115475860371068  -0.0654000692997286  -0.0  -0.0  # for region 5

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4;
0;0.9999999999999999;4.909461088538643;3.2161718087243822;0.6872438272982988;337.7781399294548;
1;2.1808188596687055;6.369844175559226;4.998865919542795;1.7158101531455103;334.5401884180917;
2;1.6703933562530695;6.341894003661204;5.532946376746885;0.9435549403938026;336.1671563155779;
3;2.4228066258873953;7.538715006474081;7.151377416618296;0.8291646202616421;332.23246863419206;
4;3.3103719248113586;8.249819172210563;9.641782381568959;0.44573826851810505;327.21105505201587;
5;2.9687279546367815;8.57886324061258;9.618993615216322;1.0956735277046032;329.3399562441398;
6;1.9782381568960128;9.98964146983971;11.969397687190247;1.5709068178773942;331.6380408090369;
7;2.290681787739429;10.910077242487832;12.67584944412198;1.825780238424789;331.90267446533016;
8;3.6959057016564714;11.637129972764209;14.850649640576862;2.6435594052774922;339.4832165022101;
9;3.600973344644372;12.904585435549404;16.695548510961288;2.6063490646068668;341.77979193642005;
10;3.0184488994061702;13.080403625485555;18.06912532928517;1.9164798856989773;309.9783274545698;
11;3.5708175202035983;14.161852033754519;19.085636469169977;0.659329374469795;310.7165334643032;
12;4.256016430771978;14.541259990177254;20.912229316426306;2.3676295932490956;313.20763495110947;
13;4.625869536098584;16.704790820199133;23.560325043532615;2.021583247756396;321.2959682100281;
14;4.787864446131178;16.5816939768719;23.24035361878823;1.8646604455953921;313.2090547841228;
15;3.69146760726883;17.667160780461668;23.861490378175645;1.6976559360628654;309.75374380497385;
16;6.274268875295798;17.882778943608518;26.618082778943606;2.7331160423270973;307.6648122516408;
17;4.975210965754342;19.777943474572485;28.93991159530294;3.661106398178327;307.5819350805911;
18;7.006599098093494;20.361316247711745;30.44055007367058;2.3260883153993834;303.10661249274455;
19;6.096834397463946;21.540813501808277;32.385426619636554;3.1858641782381567;303.25273027637627;
20;6.963084341652899;22.267384024646155;34.01955619056123;3.969629861142117;303.484368442202;
21;6.9428494887708165;24.112157878287267;36.253400008929766;4.158878421217127;301.25821315354733;
22;6.570397821136758;24.721578782872704;36.953172299861585;2.7751395276153055;301.77646113318747;
23;9.195972674911818;26.548805643612983;39.633352681162656;5.1407152743671025;300.7240969772737;
24;9.071938206009733;26.550020091976602;40.45879358842702;4.05861499307943;299.80682234227794;
25;8.047372415948564;27.36648658302451;42.66543733535741;4.4486672322186;291.23702281555563;
26;8.770844309505737;28.705585569495913;44.11714068848506;4.169129794168861;291.31752466848235;
27;7.41945796312006;29.50684466669643;45.29271777470196;3.388275215430638;291.0124213064249;
28;9.106737509487877;30.640398267625127;47.62383354913604;4.0895387775148455;287.94718042594985;
29;9.087583158458722;31.273599142742327;48.543206679465996;4.09574496584364;287.706058847167;
30;8.00101799348127;31.324204134482294;49.91954279591016;4.485743626378532;289.32692771353305;
31;8.208608295753894;32.269366433004414;51.65877572889226;4.565370362102067;289.62473545564137;
32;8.365415010938964;32.9475733357146;53.35669955797651;3.571755145778452;294.3759521364468;
33;9.298307809081573;34.20621511809617;55.02210117426441;4.24623833549136;290.356476313792;
34;9.387132205206054;35.32302540518819;56.86410680001786;3.6671875697638074;295.2972719560655;
35;12.191900700986738;38.86224940840291;60.04090726436576;7.000973344644372;348.52651694423355;
36;13.325516810287091;38.681126936643295;62.414618029200334;8.972853507166137;353.4305665937402;
