seed,sample,ranking_score
1,0,0.7907037705413036
1,1,0.797546399558747
1,2,0.8012056406940602
1,3,0.807528162724639
1,4,0.7951527694792286
1,5,0.7932625733230516
1,6,0.8018720553932462
1,7,0.7844725872538933
1,8,0.8080915748806431
1,9,0.7815048611586318
1,10,0.8021566684500034
1,11,0.7977607183611642
1,12,0.778790216292789
1,13,0.7983762828978116
1,14,0.7834990415191135
1,15,0.7788373267508821
1,16,0.8026632948366272
1,17,0.7823859378385821
1,18,0.81810677546262
1,19,0.7918587498422262
1,20,0.7927284696075106
1,21,0.8112566145004191
1,22,0.7864924462814558
1,23,0.8101292664570157
1,24,0.7986665301965953
1,25,0.7990585688462908
1,26,0.7862615260415168
1,27,0.8054070696436436
1,28,0.8000656190195817
1,29,0.8159012771419847
1,30,0.7999810373646982
1,31,0.8022446240931573
1,32,0.7745973173747799
1,33,0.7959432865276954
1,34,0.7689553420766351
1,35,0.7775943044430578
1,36,0.7861394285120954
1,37,0.8019373173517329
1,38,0.8138512489778268
1,39,0.7872263508366033
1,40,0.7889186008144761
1,41,0.7832144159303882
1,42,0.78990399447285
1,43,0.7939946503826358
1,44,0.7979167064077878
1,45,0.8116200185756285
1,46,0.8227776171260377
1,47,0.7823330412055235
1,48,0.7965556314411972
1,49,0.8223520618771888
1,50,0.8046915807962451
1,51,0.8294318213669889
1,52,0.7923399596157807
1,53,0.7965229114498698
1,54,0.7884719364250684
1,55,0.7935722358190933
1,56,0.776685444537202
1,57,0.7978834171567751
1,58,0.8093580572565894
1,59,0.8174499015240908
1,60,0.7779447584210518
1,61,0.792028989750484
1,62,0.8050642916909843
1,63,0.7930050325109955
1,64,0.8024282640606402
1,65,0.777683959374629
1,66,0.8071996066698356
1,67,0.8048924409188849
1,68,0.8205134163774513
1,69,0.8029399258808891
1,70,0.7963293486859564
1,71,0.7954185005702957
1,72,0.7924192104838734
1,73,0.7959997381849478
1,74,0.797350388564631
1,75,0.8089565822643475
1,76,0.8041617510147789
1,77,0.8030435070919112
1,78,0.8034546440656056
1,79,0.8115087019607378
1,80,0.8049362963291108
1,81,0.8019552344647253
1,82,0.7847707449553682
1,83,0.8112619651842674
1,84,0.8041435937719849
1,85,0.7812981095274232
1,86,0.8046537945928882
1,87,0.8083725677314137
1,88,0.7869984496423921
1,89,0.7966078396151206
1,90,0.8120178955825986
1,91,0.8130879037968474
1,92,0.7915951671958221
1,93,0.797551644918785
1,94,0.784942556913584
1,95,0.8191602212882669
1,96,0.7947637350019615
1,97,0.8118007774032162
1,98,0.8090004414975076
1,99,0.7861457615034945
1,100,0.7904595674375113
1,101,0.7913227916364484
1,102,0.7917103648768145
1,103,0.7911686612744856
1,104,0.8226907145087127
1,105,0.8008803301947424
1,106,0.795674144011699
1,107,0.7917644350827677
1,108,0.7967241148118314
1,109,0.7822012285493309
1,110,0.802436671539634
1,111,0.784022462911477
1,112,0.7982952105635348
1,113,0.8040118037436614
1,114,0.7868964872358766
1,115,0.8019716644534899
1,116,0.8022487337686393
1,117,0.7882565272329008
1,118,0.8218464138220343
1,119,0.7874271227074406
1,120,0.7994461922021492
1,121,0.8080916487931327
1,122,0.7684673501883884
1,123,0.7967582888503015
1,124,0.7841483238553209
1,125,0.7864123545930386
1,126,0.8004095252662885
1,127,0.7931941155064398
1,128,0.7930492924901783
1,129,0.7831762767040071
1,130,0.7932304689863302
1,131,0.7944147016948204
1,132,0.7856972626469397
1,133,0.8055784696815746
1,134,0.8069136778589241
1,135,0.8138166261347969
1,136,0.8001650652653821
1,137,0.7991474721267888
1,138,0.7866663260455817
1,139,0.7981881625331142
1,140,0.787453904940828
1,141,0.7761053168517615
1,142,0.8067729648266745
1,143,0.8094060807344146
1,144,0.7791811499441247
1,145,0.8124036322513528
1,146,0.8004803977468926
1,147,0.7993385763243923
1,148,0.7931193923694325
1,149,0.7928294723500087
1,150,0.8062499269061654
1,151,0.7800835360488159
1,152,0.7927664101820482
1,153,0.8040685015067928
1,154,0.8059931665162885
1,155,0.8088753116318177
1,156,0.8223243892481324
1,157,0.7891060126360103
1,158,0.7980785047328441
1,159,0.8045159140991347
1,160,0.8122900349945431
1,161,0.8156930390407967
1,162,0.8034572383686868
1,163,0.8020803611281649
1,164,0.8085097060548935
1,165,0.7943199920911868
1,166,0.8167396450076803
1,167,0.7705645296756356
1,168,0.8002113434550501
1,169,0.8082477024071837
1,170,0.7917183625528944
1,171,0.7978046802246108
1,172,0.7782627881699438
1,173,0.8047671690218116
1,174,0.7949894855153036
1,175,0.7987809917817228
1,176,0.7981956353741663
1,177,0.7902223442087061
1,178,0.832454489004198
1,179,0.806721881451746
1,180,0.7919332345390442
1,181,0.8090684884800095
1,182,0.7988555825489041
1,183,0.8006488989439953
1,184,0.7808642501489977
1,185,0.7805184741120158
1,186,0.8108119672373951
1,187,0.7819066576739583
1,188,0.788666377994008
1,189,0.7929816691483706
1,190,0.7985446447863791
1,191,0.8042797080803987
1,192,0.7814988886710152
1,193,0.8027009755749963
1,194,0.7880994635364007
1,195,0.8020253146138387
1,196,0.7893571064963932
1,197,0.7930727773153872
1,198,0.7828011330597053
1,199,0.8027712521072995
