seed,sample,ranking_score
1,0,0.8823380441888906
1,1,0.8861054042410638
1,2,0.8791166768953195
1,3,0.8812855131196333
1,4,0.8961661707668895
1,5,0.8941471703645467
1,6,0.8907248772923115
1,7,0.8874517682263623
1,8,0.8936377885096397
1,9,0.8965413153395079
1,10,0.8833984263076334
1,11,0.8921025627911578
1,12,0.8873588570911835
1,13,0.8946511654547319
1,14,0.8893378670429909
1,15,0.8819765174209624
1,16,0.8976940653254978
1,17,0.8882093611547394
1,18,0.8885787769451466
1,19,0.8812085337411344
1,20,0.8754292493127199
1,21,0.8954791595296727
1,22,0.8837031036769463
1,23,0.8784147115556911
1,24,0.8886257524828498
1,25,0.8848218557424279
1,26,0.8863468609018099
1,27,0.8975460182036492
1,28,0.8979963178544342
1,29,0.8923957783456773
1,30,0.8759641502441965
1,31,0.881601739934846
1,32,0.8694760123163654
1,33,0.878660982337732
1,34,0.877651582091072
1,35,0.8866143500515662
1,36,0.8808680201416308
1,37,0.8847432911486075
1,38,0.906559762347898
1,39,0.8907652768654443
1,40,0.8835657857893199
1,41,0.8899304343671408
1,42,0.8706260199036833
1,43,0.8905798644816761
1,44,0.8863660934313087
1,45,0.8806439919196405
1,46,0.8896851795456735
1,47,0.8893617157837335
1,48,0.8789572043228994
1,49,0.911455863472713
1,50,0.8945054494636498
1,51,0.887011646676224
1,52,0.886310657406227
1,53,0.8933604054277119
1,54,0.8921929169398357
1,55,0.8789874430146434
1,56,0.8878016018063074
1,57,0.8980589106867248
1,58,0.8901714288745204
1,59,0.8864750443187028
1,60,0.8756037881353074
1,61,0.8824671417711942
1,62,0.8826248719541846
1,63,0.8804668516854397
1,64,0.8943061973363671
1,65,0.8849357267879198
1,66,0.8785972599505676
1,67,0.8901539563518018
1,68,0.8978168725414988
1,69,0.8814663154516724
1,70,0.8901643443727867
1,71,0.8826814247028409
1,72,0.8927670226698038
1,73,0.8881714329276598
1,74,0.8766891040836562
1,75,0.8848826048856908
1,76,0.8963489586691438
1,77,0.8816237746467236
1,78,0.891002602765818
1,79,0.8865139473235997
1,80,0.8824290871837472
1,81,0.8784257266890203
1,82,0.8864873397697085
1,83,0.8873878067786016
1,84,0.8804733099604534
1,85,0.8852640095388047
1,86,0.9007597955465798
1,87,0.8983540898874482
1,88,0.8898670411261271
1,89,0.8942606191150083
1,90,0.8925214973074851
1,91,0.8951757430241832
1,92,0.8859283612676131
1,93,0.8837801247339458
1,94,0.8898873490582422
1,95,0.8982842027709931
1,96,0.885860236953687
1,97,0.8931801514013005
1,98,0.8814858395686109
1,99,0.878164306096572
1,100,0.8805625716010892
1,101,0.8942004345864173
1,102,0.8776958928991886
1,103,0.8922789991703727
1,104,0.9004557684977055
1,105,0.9025144479356506
1,106,0.9066871990205605
1,107,0.8752170897285293
1,108,0.8829107548452491
1,109,0.8847001656969716
1,110,0.8925272458768979
1,111,0.8823535735027082
1,112,0.879183348197004
1,113,0.8838613375453176
1,114,0.8822979287028111
1,115,0.8843410227327743
1,116,0.9002903396132873
1,117,0.8826462503401457
1,118,0.8900786401258939
1,119,0.8902423752064208
1,120,0.8835900859325165
1,121,0.8843014528465039
1,122,0.8874072260451895
1,123,0.89495172673114
1,124,0.8860954346959535
1,125,0.8811237907176732
1,126,0.8932179420786975
1,127,0.8966613156521057
1,128,0.8819121143138552
1,129,0.8933768680517765
1,130,0.9009641615574271
1,131,0.8873879878110117
1,132,0.8878526629318112
1,133,0.8876960646847492
1,134,0.8937362836208497
1,135,0.9036813259370153
1,136,0.8936843399485279
1,137,0.8817378074089595
1,138,0.8754399102882
1,139,0.8891124025807848
1,140,0.8719136086629775
1,141,0.8806061467976566
1,142,0.8864976721677095
1,143,0.8977485669918537
1,144,0.881139753507837
1,145,0.8915318893460787
1,146,0.904238766712164
1,147,0.8836928317122664
1,148,0.8829588453922526
1,149,0.8935544331163272
1,150,0.882833694531373
1,151,0.879399957863002
1,152,0.888311673376807
1,153,0.8851682411103421
1,154,0.8747812137600837
1,155,0.8917470315840011
1,156,0.8960605406992906
1,157,0.8760290969927724
1,158,0.8905556769005742
1,159,0.8871725850922781
1,160,0.8762422111531484
1,161,0.8713913984420436
1,162,0.8871401936367183
1,163,0.8966674448378964
1,164,0.8984295907943028
1,165,0.8835372663848067
1,166,0.8874877465244356
1,167,0.8830545680869464
1,168,0.8787976173843752
1,169,0.8881255085360472
1,170,0.8855885576339159
1,171,0.8998124928491722
1,172,0.8817089835290436
1,173,0.8985230306026389
1,174,0.8898314762004864
1,175,0.8792936814570225
1,176,0.8848896391114465
1,177,0.8743493006023667
1,178,0.9073485719963099
1,179,0.9034253284164717
1,180,0.8815422894172498
1,181,0.8938361825901425
1,182,0.8829121221442184
1,183,0.8909985704120081
1,184,0.8890088456334898
1,185,0.8886353891765202
1,186,0.8916474302642082
1,187,0.8906331025702547
1,188,0.8823647229354636
1,189,0.8912384672107372
1,190,0.8746405462051727
1,191,0.9116920348063181
1,192,0.8832939285089327
1,193,0.8848077027149754
1,194,0.8864613221917752
1,195,0.8860634790409143
1,196,0.8799273390285897
1,197,0.8852241326093374
1,198,0.8852393405941081
1,199,0.8918374537884737
