seed,sample,ranking_score
1,0,0.8794232782472667
1,1,0.8853017096430151
1,2,0.8806799437998929
1,3,0.880169091672982
1,4,0.897594211008967
1,5,0.8859965556040554
1,6,0.8872763139543972
1,7,0.8813723939223929
1,8,0.8912053734279552
1,9,0.891109414386837
1,10,0.8854202333939312
1,11,0.8972850327048635
1,12,0.8882221153868043
1,13,0.8966882232690271
1,14,0.8887777439531938
1,15,0.8817428330027844
1,16,0.9019321031046701
1,17,0.8861867766158629
1,18,0.8882977086546376
1,19,0.8842140650019674
1,20,0.8755232752538581
1,21,0.891108397808671
1,22,0.8842026334649913
1,23,0.87748372900816
1,24,0.8864750148860671
1,25,0.8836223912600368
1,26,0.8893701826011049
1,27,0.8947574263725497
1,28,0.8965699300708546
1,29,0.8927209008882808
1,30,0.8786400429375514
1,31,0.8813563662292149
1,32,0.873492067625269
1,33,0.8754107045404594
1,34,0.8767328504392288
1,35,0.8798466221178889
1,36,0.8766631347015426
1,37,0.8826277372188271
1,38,0.9059105556106264
1,39,0.8850789574806331
1,40,0.882696530819595
1,41,0.8790057301667539
1,42,0.8729447258597727
1,43,0.8865036447644341
1,44,0.8830642020340664
1,45,0.8792969137351024
1,46,0.887711129716006
1,47,0.8912050690095715
1,48,0.8768318216481218
1,49,0.9081886046087182
1,50,0.8910962654965643
1,51,0.8801292102009853
1,52,0.8824788996020538
1,53,0.8903712341425698
1,54,0.892016752539688
1,55,0.8853730791882581
1,56,0.8879891804431407
1,57,0.8934553475251327
1,58,0.8851419125971832
1,59,0.8861203541749938
1,60,0.8737313814278334
1,61,0.8713075232573174
1,62,0.8801577594688231
1,63,0.8777691278544376
1,64,0.8961462947590435
1,65,0.878212233009194
1,66,0.8807107472365469
1,67,0.8855152953912674
1,68,0.8974663332701172
1,69,0.8899298174447885
1,70,0.8923924663345302
1,71,0.8878894277430663
1,72,0.8948932393220457
1,73,0.8891301836824291
1,74,0.883586198360895
1,75,0.8824019559946126
1,76,0.8960167744510749
1,77,0.8743639113382812
1,78,0.888407750327093
1,79,0.8830145094345568
1,80,0.8770956307820272
1,81,0.8709896151032644
1,82,0.8823766610754835
1,83,0.8840661298084511
1,84,0.8827431395633211
1,85,0.8877070063667367
1,86,0.9013469915860868
1,87,0.8951728734363938
1,88,0.8871926198182628
1,89,0.8889043063350335
1,90,0.8908812493830561
1,91,0.9006821724707209
1,92,0.8870861609738183
1,93,0.8867274334220762
1,94,0.8892691168842201
1,95,0.904133693864825
1,96,0.8868750791165194
1,97,0.8890398666047474
1,98,0.8805365611011182
1,99,0.8818179864068523
1,100,0.8779416006427176
1,101,0.8950976819451829
1,102,0.8856150088994692
1,103,0.8922230065833614
1,104,0.8966660669670163
1,105,0.8990132353721482
1,106,0.9019360599185713
1,107,0.872795281535124
1,108,0.8814069188177852
1,109,0.8853331460265832
1,110,0.888796347948394
1,111,0.881108873206731
1,112,0.881561519395291
1,113,0.8839297909404659
1,114,0.879280051479467
1,115,0.8858721519423741
1,116,0.8980520226245032
1,117,0.8825504990253994
1,118,0.8914818215094512
1,119,0.8850746922259023
1,120,0.8833359355383961
1,121,0.883268105899643
1,122,0.8868319769217159
1,123,0.893302707944652
1,124,0.8845119418592482
1,125,0.8812512962098898
1,126,0.8921955123543203
1,127,0.8950777636982965
1,128,0.879747933842283
1,129,0.8925721433294507
1,130,0.8973227681088161
1,131,0.8841538121983511
1,132,0.8867116845340226
1,133,0.8888572812444792
1,134,0.8922448928725927
1,135,0.9040714160715921
1,136,0.8888756449763813
1,137,0.8871230362182897
1,138,0.8847537897816022
1,139,0.8867368381329835
1,140,0.8775500062608786
1,141,0.8774742253543092
1,142,0.8872267858994438
1,143,0.8950568464902839
1,144,0.8823900880475877
1,145,0.894216067954496
1,146,0.8969612819791448
1,147,0.8817216095399443
1,148,0.8858195068367818
1,149,0.8865999340079942
1,150,0.882013589445997
1,151,0.8816253439268233
1,152,0.8881987113528607
1,153,0.8862881646366507
1,154,0.8753491221266292
1,155,0.8915034395168193
1,156,0.8916979672750536
1,157,0.8765948761773747
1,158,0.8926454901399409
1,159,0.893302395481457
1,160,0.8722672662281756
1,161,0.8701336584700701
1,162,0.8853561775295439
1,163,0.8929222365940068
1,164,0.8962898060121632
1,165,0.8832235715762697
1,166,0.882434645895903
1,167,0.8828703304063332
1,168,0.8772458909385193
1,169,0.8856359632678358
1,170,0.8836263258816824
1,171,0.8981195870204972
1,172,0.8781961431517312
1,173,0.8944859791736651
1,174,0.8861956537586477
1,175,0.8835335273331056
1,176,0.8878134280261932
1,177,0.8757109218489627
1,178,0.906172595335682
1,179,0.8993521666003211
1,180,0.8798956623737404
1,181,0.8921524790198222
1,182,0.8809993018542422
1,183,0.8856046383250642
1,184,0.8859479182626844
1,185,0.886232367538295
1,186,0.8912958648177998
1,187,0.8828291308552301
1,188,0.8804226585346838
1,189,0.8914584207259444
1,190,0.8714215384591092
1,191,0.911973422775995
1,192,0.8824606635874449
1,193,0.8842094834891145
1,194,0.8843866805488809
1,195,0.8885378580272215
1,196,0.8832142593724517
1,197,0.8816823225218662
1,198,0.8804052300470064
1,199,0.8908887494270752
