PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
0.0470026973994457,0.085824173316842,-0.02422803040448156,0.010934670110976024,0.004189389802367837,0.0015913673701826601,-0.011697208415939691,0.002380916292078577
0.047002692598407156,0.08582416893380396,-0.024228001946743218,0.010934676095374619,0.004189445812243712,0.0015913888733621142,-0.01169714510425943,0.002380910555377462
0.047002692598407156,0.08582416893380396,-0.024228001946743218,0.010934676095374619,0.004189445812243712,0.0015913888733621142,-0.01169714510425943,0.002380910555377462
0.04699655132408445,0.08583488597598336,-0.024219148240042565,0.010923972175492678,0.004186772294245072,0.0015795728593095823,-0.011699537288621942,0.0023499097386509397
0.06702532521852803,0.06391228035362376,-0.020380074207581526,-0.014439818378693464,0.012355164613811614,0.009231651231923531,-0.03010737947877198,-0.01508512260363552
0.03049406064920912,0.0447921270343091,-0.004013174110670405,0.010946965733957086,0.018759271784360456,0.01224381642141069,-0.005184336809971169,-0.025858361417190286
0.01567709014983427,0.02836168770776237,-4.980272990321691e-05,0.005318107984045671,0.016991103992360236,0.0077674501202774195,0.005948494679199266,0.004206058578177962
0.017737616127218046,0.07358330647373178,-0.012503218790452329,0.013110463711646834,0.019112696826059348,0.009090711228176498,-0.0033559377564661365,0.00568837090782847
0.015567732804704854,0.06884463204287121,0.006391360475389041,0.02698504288022393,0.006513749812097493,-0.005820835851816535,0.016441129882219258,-0.010528509288901025
-0.006376918968412095,0.019673095854303182,0.026472540963138134,0.010634253757478245,0.006832199107706239,0.00893624026584099,0.008765264523966932,-0.007745564517326056
0.03681989224984259,0.061117844167951685,0.018946663509096306,0.00944101356491883,-0.0011420464339957045,0.007035741433941148,-0.0026046141364805594,-0.015194374413334955
0.04219914689341426,0.1224374157317677,-0.027255158913053842,-0.0005469540640245056,0.0041774178262811565,0.006388552278530576,-0.019695473128247945,-0.01272795979262997
0.09152052967969208,0.14756255445681127,0.0124401313290504,-0.009088236590506714,-0.0017661232094087827,0.000588773575183459,-0.040960268138198544,-0.035704731905041365
0.06720947314201442,0.19259712031455156,-0.013367108687207105,0.0058703247014444526,0.008679744441405925,0.00679800657906178,-0.03414423791143175,-0.03599730014531158
0.02773606088358247,0.1960512629540748,0.01454220053014157,0.017143221039483427,0.00547239376249542,-0.018971906980274,-0.023123129229165745,-0.018225643223246216
0.018593569089256523,0.18540381450702484,-0.03433611542544273,0.011908157887032601,-0.002788197160094151,0.00802153426408303,-0.03465518395886388,-0.020849446436405343
-0.016910828800090025,0.16862746821264196,0.0018254439784172406,0.032174126291851915,-0.0022988636677690466,0.005493260151793746,-0.010577668149710144,-0.015822383205738425
0.03132747988783969,0.19126308506045786,-0.0029964349854645655,0.025335763596867483,0.006342964537954932,0.0020297046994961518,-0.02283243802697912,-0.029749295842816357
0.04994299154229635,0.20471653703663384,-0.0028779224128971915,0.026425937854693753,-0.008863532109792332,0.005608386964388595,-0.03127129534242847,-0.018002928166728476
0.06688359902318887,0.1516674769088108,-0.01595639796882234,-0.007163741051429108,0.006409594656140636,-0.00034071151468062933,-0.025243501189545544,-0.01726720129347428
0.06762892542674889,0.14288741945757005,0.027193477735386298,-0.009198240977802665,0.01697577334731149,0.0035998171879534253,-0.03349635843216072,-0.05551436159320996
0.052920317956330024,0.1470190975113088,-0.035054037153901124,-0.0008768511381509223,0.0028051530581656202,-0.013055280416132374,-0.02323732406623832,-0.011820269631186616
0.0449677320457319,0.13178332315002872,-0.02604033012332525,0.003223727877070046,0.015897013417133975,-0.0011543555817519148,-0.027286417760195903,-0.014686163206337945
-0.013406910260295352,0.10321327082266954,-0.0115062297230325,0.016447903603176536,0.005506061438305112,-0.002156161042973725,-0.014049897357954477,0.003779051615184049
-0.038208668238133466,0.08923070163819992,-0.011321536818635701,0.019432829793078928,0.004777599583888216,0.00014068854848875805,-0.017437124321115934,-0.004661276500092092
-0.020749085039828884,0.08494339196601085,-0.0035115975921613677,0.015159764807203518,-0.0018182064775810027,0.011918237298076215,-0.011112453325868112,-0.0057999645018357495
-0.02743745622223067,0.0787481689051971,0.04807230446616506,0.027247779595017275,-0.0009790996094382687,0.008409710940670332,-0.010746945478479174,-0.04140314882724447
-0.03718748522159211,0.1828602343027308,-0.014459942666016903,0.04216289416304827,-0.007421296570899076,0.015856741997167054,-0.02234557031900045,-0.02918921155680212
0.011171853514893925,0.15453868129406761,0.03511728646857067,0.00936933854665427,0.001087934642718973,0.009438188878836913,-0.031607739765478864,-0.039413404704248235
0.007179722888319212,0.15518244436991308,0.006835283137982636,0.014736553408028139,0.010049874655338456,-0.0024683358869804868,-0.02494528769908957,-0.027840076437310762
