CV,phi,theta
0.328568,3.2556818908381064,96.8556220611587
0.325334,41.17801679412791,115.05105822087042
0.33578,49.35785321999313,89.75348497423829
0.316826,9.7200726630084,88.18183286426587
0.332206,106.6507556249974,117.1527290396889
0.332796,22.26133845291136,66.49459548807519
0.351528,23.524826826351912,77.66387702963871
0.35411,95.30711171747151,54.40748619631826
0.360569,104.50951628942786,58.94165363457729
0.330009,103.43024715230904,107.73079645831402
0.325001,89.57635862979588,110.2876570745453
0.362476,73.21155002244741,61.084582807266905
0.367905,85.00960609426009,120.29954298191272
0.348467,28.332034999908235,73.23588937617596
0.360489,82.987108993435,70.01950346871253
0.354863,89.70307931922363,117.00345967426178
0.33673,85.95672146529047,63.149438559390774
0.35296,93.59686491570699,93.2597613277032
0.369316,94.15247692807057,83.83976320080993
0.324285,69.80073867331706,54.44228103330507
0.356239,82.48377102603347,80.59501440640445
0.345172,68.0265442283148,50.44955662667494
0.340002,92.56032582839299,54.542566067699596
0.332866,68.34500184382709,59.57471445383542
0.341132,92.36871532793866,114.60075121770328
0.426569,89.0539011297333,63.39381802723221
0.336636,67.84286684475339,54.626122071852855
0.375257,87.7198292521309,84.97550735230136
0.359625,88.16689340124356,85.05894683198024
0.366691,90.97268217116715,89.21534780685307
0.351513,92.49052909816263,95.57794622959203
0.437654,87.36470957029945,60.691826849267244
0.430438,91.65858391144882,64.9363667182217
0.998991,65.9119010873671,74.02546299794173
0.372764,79.86210911291586,97.25103109338762
0.337575,91.47057494433082,55.8993895397804
0.372233,82.13188657416316,84.54783285881108
0.354459,67.18465293854594,101.27050996667698
0.449677,91.76766339810898,71.25043550076353
0.450392,101.38727115781444,69.46821724299852
0.352121,60.979549309326444,103.18667347259827
0.352308,93.13666334146801,55.39142931781669
0.344699,95.07327518713834,48.090646498419254
0.346648,94.35011763422764,53.92873955478657
0.333871,71.75749871526153,40.725083793193875
0.878327,176.1461275787849,102.6257346526052
0.343763,79.43800570352144,63.5550636490798
0.368502,72.91172257625752,83.4267369635615
0.33608,100.35394432323828,54.42267160703998
0.324079,62.37640143780843,81.94488801969524
0.355153,98.14311536539591,59.200168158124654
0.357112,87.9112648048724,56.62944699413505
0.376147,103.9879817550741,59.33817420701868
0.33939,73.77817079877909,40.642734253011554
0.469661,94.02515584370711,57.210481218312644
0.388996,72.49304409909332,57.0850424368953
0.317366,47.928624284409906,27.068817521094164
0.407651,68.87392088792765,60.72443434325354
0.442593,72.62400261749832,54.695373263853064
0.328977,58.74078477901558,33.59936581750477
0.374499,53.752612174909345,62.28481193315244
0.420331,70.38212725507576,52.30544486153033
0.384986,53.307418758722136,44.899855419881334
0.317423,47.30498271972704,33.679127628712365
1.105026,144.0371339072438,116.29075869355006
0.311756,39.45761834641746,37.73718874621715
0.347651,87.60771042599228,64.93393331000757
0.359993,105.09253958875608,57.79190402893909
0.880756,121.21471763995673,116.67564071961748
0.350785,35.57194351173357,30.791486776982033
0.309018,37.29232263704747,38.44418348701299
1.150887,160.13631238351897,122.93924339173482
1.157776,-174.7997118552438,60.314387540154804
1.124081,152.53137347984662,102.92993649949264
1.105207,128.05159556995648,150.471876700229
0.870963,109.59611938691754,124.25390511445649
0.313796,24.8395840283508,34.66964095626024
0.352463,35.90622911992627,35.298937249797355
0.88065,104.13521206241572,121.90710598603376
0.303937,46.38054054205061,43.75665730634821
0.322543,10.188694965268573,24.461220011111863
0.303687,71.97244708965032,24.653429673390054
0.857693,125.3680172534366,117.14136871247985
1.032921,-138.71715847796693,63.178709459314
0.886394,-176.01859230089295,90.85908403887285
0.337142,61.77428654198844,40.93895542072776
0.351053,75.17637521396647,45.50475693549531
0.974879,-178.36799244606158,101.78899529453189
0.400871,81.62308643199957,56.92802551717662
0.398841,56.41568181513894,56.86360667190913
0.404011,69.54961947711611,54.50743767064305
1.038625,-145.04146394702906,60.411710899134945
0.899493,-157.16315417543206,100.10120118600787
0.347802,57.654669986952925,28.365679736609746
0.916016,122.05753742988234,133.6734838638787
0.296963,23.535510642951866,21.367922152500864
1.070944,89.81608522624282,21.823525435140784
0.30527,26.43249852349602,27.704546655398
0.306427,43.16495853692927,29.78876893077009
0.32283,41.51541826556419,31.57990698652562
0.320012,47.58659923140213,28.75445767852473
0.315913,30.336275427638128,32.036595624566786
0.301571,55.488448445786936,30.591732388304575
0.31671,12.376444818533557,22.253611655615003
1.019877,-125.84525796179942,58.927428373811345
0.941351,-160.57539139452078,106.09274926861919
0.328743,25.070786676468153,35.204861626291944
0.334588,41.61805345232941,25.938705655520838
0.351349,94.22201783519544,57.50500345276834
0.320466,55.01468802690817,35.39843703052466
0.330469,95.6179658082373,58.13244724160065
