cumsum,eigen
473.13628724987274,473.13628724987274
604.403952249485,131.26766499961224
665.8099437856961,61.40599153621116
719.4330401796572,53.62309639396102
757.217688702739,37.78464852308181
785.2273811189815,28.009692416242537
806.8338324949315,21.606451375949952
822.6913327755801,15.857500280648624
834.6403340065345,11.949001230954416
844.7014422125485,10.061108206014003
853.0764642507257,8.375022038177223
861.065758956549,7.989294705823278
868.1583263198155,7.092567363266575
874.8359852451496,6.677658925334088
881.2324072825137,6.396422037364088
886.7613758680419,5.52896858552819
891.7016584273313,4.940282559289351
896.3847974012422,4.683138973910893
900.9557438138283,4.5709464125861725
905.1315678041753,4.175823990346942
