seed,sample,ranking_score
1,0,0.7887945005233881
1,1,0.7917109108129042
1,2,0.7866322281749747
1,3,0.8098867615256492
1,4,0.7951249153011744
1,5,0.8089652882828139
1,6,0.8133502088564866
1,7,0.7891792191528776
1,8,0.8076611431601778
1,9,0.7989446999834031
1,10,0.798026201057563
1,11,0.8100434128028031
1,12,0.8121801856378533
1,13,0.8030149086456897
1,14,0.793065165782376
1,15,0.7989147056923241
1,16,0.804658908024824
1,17,0.8018133180349394
1,18,0.8180068260621446
1,19,0.7971155853568638
1,20,0.790497713924697
1,21,0.8114089327416566
1,22,0.8014606580859525
1,23,0.8108502990706741
1,24,0.805086976061335
1,25,0.790822214649636
1,26,0.7938139465370603
1,27,0.82703505291603
1,28,0.805831163794828
1,29,0.7980553620348186
1,30,0.8066886148988575
1,31,0.8009216019495979
1,32,0.7878455916947248
1,33,0.7987282629391862
1,34,0.7781611754836183
1,35,0.7884788039544988
1,36,0.7844173810661917
1,37,0.7877225440763934
1,38,0.8259171737169013
1,39,0.782974511635764
1,40,0.7905532320994899
1,41,0.7925647832435784
1,42,0.800416002348008
1,43,0.7950789691118009
1,44,0.8084622565414012
1,45,0.8011571463822907
1,46,0.7963544486438044
1,47,0.8095652107338149
1,48,0.7838907361885141
1,49,0.8203268884232329
1,50,0.7982463938230412
1,51,0.8078842905009035
1,52,0.7918796326926847
1,53,0.7956273826176353
1,54,0.8001957873869899
1,55,0.8015353500335061
1,56,0.7877008453963623
1,57,0.8055539607229197
1,58,0.8058408675391144
1,59,0.8096457249707558
1,60,0.7916554124252645
1,61,0.8017033247866368
1,62,0.8125736740379245
1,63,0.8029630817153549
1,64,0.8082784484490535
1,65,0.7972588629921332
1,66,0.807794309749557
1,67,0.7906084289512278
1,68,0.8287952648167677
1,69,0.8002355330706766
1,70,0.8088947801392848
1,71,0.7952791785106308
1,72,0.7923139014138895
1,73,0.8025896027577135
1,74,0.81164943691356
1,75,0.7878780101561227
1,76,0.8109532440208578
1,77,0.7882086084794435
1,78,0.8021906719587876
1,79,0.8460276167086104
1,80,0.7828450253657381
1,81,0.7915525064364005
1,82,0.8185600503699234
1,83,0.8139416871501404
1,84,0.7834417214568917
1,85,0.804082961345849
1,86,0.8067092004533252
1,87,0.7879858114743262
1,88,0.8089995860193524
1,89,0.7946145664118551
1,90,0.7893871097257747
1,91,0.8240105781266581
1,92,0.8255192965449043
1,93,0.7873486119387945
1,94,0.7864833145196322
1,95,0.8158318882414506
1,96,0.7915377700994105
1,97,0.8096465686809217
1,98,0.8073704466733373
1,99,0.7888809349769944
1,100,0.7918380611365313
1,101,0.8037662701495806
1,102,0.798850632440009
1,103,0.8186795985690393
1,104,0.8092447868879857
1,105,0.8110520027621928
1,106,0.8193536925625078
1,107,0.7950670481828614
1,108,0.788972492882098
1,109,0.7792017667720834
1,110,0.8047077335977284
1,111,0.7850987803947032
1,112,0.813767005601628
1,113,0.7911848132450245
1,114,0.7869375825360562
1,115,0.8279665768220081
1,116,0.8052846884990448
1,117,0.7875845870101559
1,118,0.821482855917812
1,119,0.792117157538122
1,120,0.8037373968876285
1,121,0.7990986033330103
1,122,0.7781503461743533
1,123,0.8081585913471068
1,124,0.786877849664968
1,125,0.8024400603560433
1,126,0.8142299561858302
1,127,0.8003867239671306
1,128,0.7891611449146969
1,129,0.7961489192476687
1,130,0.8087269887442846
1,131,0.7914859656261399
1,132,0.796419282619657
1,133,0.8164757788166837
1,134,0.8191051630140949
1,135,0.8109592370537064
1,136,0.793876480848281
1,137,0.8039061380515282
1,138,0.7966686716910384
1,139,0.7765695835904195
1,140,0.7992088128321484
1,141,0.7965733568387758
1,142,0.8247018360161653
1,143,0.802190862308392
1,144,0.7855139085633707
1,145,0.8208125153197212
1,146,0.7999546388091856
1,147,0.7976972567474211
1,148,0.8088822544882212
1,149,0.7987760910126148
1,150,0.7975029223256209
1,151,0.7835488398421093
1,152,0.8117710262770154
1,153,0.8106088103437964
1,154,0.8014332329830657
1,155,0.816327083999351
1,156,0.825367752690455
1,157,0.7911767462001367
1,158,0.8092631699366705
1,159,0.793375450355441
1,160,0.796968433545457
1,161,0.8043269767932216
1,162,0.8185556052760581
1,163,0.8031060898351565
1,164,0.8175701888874676
1,165,0.7968534555078497
1,166,0.8286649756702333
1,167,0.8002640468542161
1,168,0.8029772864923888
1,169,0.8113914401536406
1,170,0.8023887259343756
1,171,0.7823194812783021
1,172,0.7893518287150503
1,173,0.8348332225390838
1,174,0.8093251784206882
1,175,0.7975034757156337
1,176,0.8160279549641418
1,177,0.8024736136826793
1,178,0.8286683707049718
1,179,0.8078900651673648
1,180,0.7928082119919164
1,181,0.8097018199391703
1,182,0.8130153328804446
1,183,0.7938384491598129
1,184,0.785871083356032
1,185,0.787905938493964
1,186,0.8036177979598125
1,187,0.7903878250099523
1,188,0.782345147945911
1,189,0.8006935734522466
1,190,0.8025966666919566
1,191,0.8078064520036639
1,192,0.7907124360603512
1,193,0.786229401257539
1,194,0.7905350373886542
1,195,0.7998587455385024
1,196,0.7905331987052939
1,197,0.8001563755485213
1,198,0.7928091709861718
1,199,0.8075036905582991
