x,kde_mean,kde_std,ci_lower,ci_upper
0.0,0.0,0.0,0.0,0.0
0.10050251256281408,0.0,0.0,0.0,0.0
0.20100502512562815,0.0,0.0,0.0,0.0
0.30150753768844224,0.0,0.0,0.0,0.0
0.4020100502512563,0.0,0.0,0.0,0.0
0.5025125628140704,0.0,0.0,0.0,0.0
0.6030150753768845,0.0,0.0,0.0,0.0
0.7035175879396985,0.0,0.0,0.0,0.0
0.8040201005025126,0.0,0.0,0.0,0.0
0.9045226130653267,0.0,0.0,0.0,0.0
1.0050251256281408,0.0,0.0,0.0,0.0
1.105527638190955,0.0,0.0,0.0,0.0
1.206030150753769,0.0,0.0,0.0,0.0
1.306532663316583,0.0,0.0,0.0,0.0
1.407035175879397,0.0,0.0,0.0,0.0
1.5075376884422111,0.0,0.0,0.0,0.0
1.6080402010050252,0.0,0.0,0.0,0.0
1.7085427135678393,0.0,0.0,0.0,0.0
1.8090452261306533,0.0,0.0,0.0,0.0
1.9095477386934674,0.0,0.0,0.0,0.0
2.0100502512562817,0.0,0.0,0.0,0.0
2.1105527638190957,0.0,0.0,0.0,0.0
2.21105527638191,0.0,0.0,0.0,0.0
2.311557788944724,0.0,0.0,0.0,0.0
2.412060301507538,0.0,0.0,0.0,0.0
2.512562814070352,0.0,0.0,0.0,0.0
2.613065326633166,0.0,0.0,0.0,0.0
2.71356783919598,0.0,0.0,0.0,0.0
2.814070351758794,0.0,0.0,0.0,0.0
2.9145728643216082,0.0,0.0,0.0,0.0
3.0150753768844223,0.0,0.0,0.0,0.0
3.1155778894472363,1.245e-321,0.0,0.0,0.0
3.2160804020100504,8.051117267034348e-304,0.0,0.0,0.0
3.3165829145728645,1.5811602895644328e-286,0.0,0.0,0.0
3.4170854271356785,9.446805251691499e-270,0.0,0.0,0.0
3.5175879396984926,1.7171545114707687e-253,0.0,0.0,0.0
3.6180904522613067,9.496811188697346e-238,0.0,0.0,0.0
3.7185929648241207,1.5981654332274368e-222,0.0,0.0,0.0
3.819095477386935,8.18418888426266e-208,0.0,0.0,4e-323
3.919597989949749,1.2754903383644847e-193,0.0,0.0,1.6762297223136572e-300
4.020100502512563,6.050165469629283e-180,0.0,0.0,8.974659645030622e-279
4.120603015075377,8.73554921243782e-167,0.0,0.0,5.278288780854881e-258
4.2211055276381915,3.839669604193687e-154,2.4281167102315794e-152,0.0,7.145601545276807e-238
4.3216080402010055,5.1384181461562616e-142,3.2494147250782366e-140,0.0,1.4509491454509382e-218
4.42211055276382,2.0938793335496806e-130,1.3241200131015363e-128,0.0,4.4192214924332766e-200
4.522613065326634,2.598474260043708e-119,1.6432139299832883e-117,0.0,9.989817042631685e-183
4.623115577889448,9.821791767945875e-109,6.211069185936798e-107,0.0,5.95544770076952e-166
4.723618090452262,1.1309209798404247e-98,7.151674347252649e-97,0.0,2.987012849281427e-150
4.824120603015076,3.967428868791747e-89,2.5089036037574327e-87,0.0,5.1916055643967823e-135
4.92462311557789,4.24121037918585e-80,2.682022604865278e-78,0.0,8.001068308339396e-121
5.025125628140704,1.3818015510451518e-71,8.737983914333058e-70,0.0,3.045942500771858e-107
5.125628140703518,1.3723151426003298e-63,8.677576353273518e-62,0.0,1.7312985053163193e-94
5.226130653266332,4.1553201169593915e-56,2.627187035215448e-54,0.0,1.4891461851696754e-82
5.326633165829146,3.8372226164089185e-49,2.4252340144215616e-47,0.0,1.9360827292347184e-71
5.42713567839196,1.0811162096674927e-42,6.827284094335056e-41,0.0,3.459525422109173e-61
5.527638190954774,9.299779718160196e-37,5.861811854285864e-35,0.0,9.778840109054769e-52
5.628140703517588,2.445406607090124e-31,1.535187579824108e-29,1.3597836710298237e-280,4.229966224107794e-43
5.728643216080402,1.9702514098663206e-26,1.2265911426985384e-24,2.6711256698933534e-228,3.058934049889035e-35
5.8291457286432165,4.890755188347362e-22,2.9905083918704545e-20,1.3140366553438778e-183,3.2801071658041155e-28
5.9296482412060305,3.81036268210451e-18,2.2259446639794255e-16,1.4351387700649736e-141,5.080545549357867e-22
6.030150753768845,1.0006719408018303e-14,5.067345945649301e-13,1.782738362678403e-105,1.0915471267938354e-16
6.130653266331659,1.0789454570699347e-11,3.5759418635881604e-10,2.097550557187233e-74,3.731966802714125e-12
6.231155778894473,5.889627880959487e-09,8.716486182201106e-08,5.62831801570336e-50,1.8891202910227e-08
6.331658291457287,1.6248540346177202e-06,1.0063319700306464e-05,6.588644041254539e-30,1.312443559589966e-05
6.432160804020101,0.00022175376490995622,0.0005651705147203291,1.0386296356721086e-15,0.0017799088161998904
6.532663316582915,0.012063757762711402,0.012132481942980982,7.583068593483497e-08,0.04333007392720062
6.633165829145729,0.10452931957454135,0.06010573351334656,0.004354504769186316,0.23988102377744833
6.733668341708543,0.13589831770259997,0.07003645288265575,0.014722355620127579,0.28940908169975377
6.834170854271357,0.07778989447376947,0.04600924469608317,0.003922599816705776,0.18117068631876396
6.934673366834171,0.11659891021941551,0.06586368043989767,0.0035871583218684104,0.2671124813358294
7.035175879396985,0.05661599198708404,0.040191223751430256,0.001927648050032622,0.15145040874979476
7.135678391959799,0.5940192376522027,0.15871421539200972,0.2700203101475828,0.8930871977380357
7.236180904522613,2.5656155643077296,0.26033075918363824,2.113195990865528,3.131883557569705
7.336683417085427,3.056633601477928,0.21366627908582994,2.6499914986159165,3.4924472591658837
7.437185929648241,2.4097454637348195,0.2571127547478333,1.9608863081177739,2.970602505758747
7.5376884422110555,0.5808641461468134,0.15204954779773508,0.27578472729220915,0.8711575144526803
7.63819095477387,0.0670660393081227,0.0412121079837187,0.0034365819714159947,0.15882825679098325
7.738693467336684,0.04162526693033574,0.04133155893410688,2.7722921333447923e-07,0.14078057959558365
7.839195979899498,0.00806695679528682,0.009505759499354173,5.68200702874423e-17,0.033189080084985986
7.939698492462312,0.00016111117434733333,0.0004076001165970219,2.420791752905853e-31,0.0013807151257823802
8.040201005025127,1.1613501064103632e-06,6.802097085122783e-06,2.6521688329415976e-50,1.12412790140081e-05
8.14070351758794,4.070433838394056e-09,5.691759295897036e-08,2.0890957009684227e-73,1.2320191185488721e-08
8.241206030150755,7.64856201260235e-12,2.5042802832751607e-10,1.8060106098879845e-101,1.9589520904957293e-12
8.341708542713569,7.78133849688903e-15,4.032419456580481e-13,1.768077139901407e-135,4.087758010812204e-17
8.442211055276383,3.3726983844496558e-18,2.0256384845845316e-16,1.1815878121481216e-173,1.2666870896742683e-22
8.542713567839197,5.762522361466477e-19,2.978336733032547e-17,1.7419153350376423e-217,9.307691165606847e-24
8.643216080402011,2.196450639162715e-15,1.0203895417459549e-13,1.3572437752641155e-265,3.2790042997227197e-18
8.743718592964825,2.9196427403911576e-12,1.1021553093732546e-10,8.14e-321,1.8873959514430865e-13
8.84422110552764,1.6130641893380213e-09,3.821114029670497e-08,0.0,1.86551625934151e-09
8.944723618090453,4.3450190582863206e-07,4.662420123683635e-06,0.0,2.39476276726813e-06
9.045226130653267,5.840793333779995e-05,0.00024218964742159485,0.0,0.0005088253504905748
9.145728643216081,0.003290485772507992,0.005383150238721963,0.0,0.017858499294674677
9.246231155778895,0.0414718211972897,0.03154922068031602,0.0,0.10621933734721233
9.34673366834171,0.04911464627435936,0.03441915022887215,0.0,0.11783412722338446
9.447236180904524,0.005284804032639794,0.00755799391527789,0.0,0.02596560100020605
9.547738693467338,0.000109163209191776,0.00037126334081731506,0.0,0.001028883458380855
9.648241206030152,8.499352828197126e-07,6.832054484207923e-06,0.0,5.8325733908448155e-06
9.748743718592966,3.028922472717821e-09,5.709992093310948e-08,0.0,5.184352364671489e-09
9.84924623115578,5.352394241112635e-12,1.910197708996908e-10,0.0,8.058039719730012e-13
9.949748743718594,4.380354922811988e-15,2.140390131331553e-13,0.0,2.0889536893435404e-17
10.050251256281408,1.3494135817966366e-18,7.524537817571739e-17,0.0,6.39182980045683e-23
10.150753768844222,1.3729120481245988e-22,8.135066351731744e-21,0.0,2.9079269303231895e-29
10.251256281407036,4.394789896481985e-27,2.6866738693165375e-25,0.0,2.195437407323506e-36
10.35175879396985,4.3489565165902095e-32,2.7034500943842803e-30,0.0,2.6520837748482455e-44
10.452261306532664,1.3201187360547115e-37,8.279178021559369e-36,0.0,4.850588948342509e-53
10.552763819095478,1.224270118075676e-43,7.71267242348379e-42,0.0,1.3446561689803665e-62
10.653266331658292,3.461042524481527e-50,2.185111603563785e-48,0.0,5.6509811835386585e-73
10.753768844221106,2.9789173550519104e-57,1.8825573277768224e-55,0.0,3.600348368508015e-84
10.85427135678392,7.800798621526283e-65,4.93181513641564e-63,0.0,3.2559547672792476e-96
10.954773869346734,6.212992201818628e-73,3.928604847274152e-71,0.0,4.31923972960562e-109
11.055276381909549,1.504783802094712e-81,9.515622144217766e-80,0.0,8.633304659022262e-123
11.155778894472363,1.1082264862860338e-90,7.008100502484639e-89,0.0,2.600360814228974e-137
11.256281407035177,2.4817132623051907e-100,1.5693729849145716e-98,0.0,1.1804115500740097e-152
11.35678391959799,1.6898124850550472e-110,1.0685969002142432e-108,0.0,8.076926328856807e-169
11.457286432160805,3.4985450525134884e-121,2.2123971749465794e-119,0.0,8.332154579170557e-186
11.557788944723619,2.202408185774496e-132,1.3927510551912696e-130,0.0,1.2962020552453136e-203
11.658291457286433,4.215696065352133e-144,2.665906971889895e-142,0.0,3.0417434440628416e-222
11.758793969849247,2.4535889787584684e-156,1.551591934546558e-154,0.0,1.0771284003619721e-241
11.859296482412061,4.342055087648316e-169,0.0,0.0,5.758439201003608e-262
11.959798994974875,2.33641412447344e-182,0.0,0.0,4.650250838847439e-283
12.06030150753769,3.822656585419741e-196,0.0,0.0,5.66405672439917e-305
12.160804020100503,1.9016986906161755e-210,0.0,0.0,0.0
12.261306532663317,2.876597443269654e-225,0.0,0.0,0.0
12.361809045226131,1.3230535754293633e-240,0.0,0.0,0.0
12.462311557788945,1.850276907751785e-256,0.0,0.0,0.0
12.56281407035176,7.867866520914789e-273,0.0,0.0,0.0
12.663316582914574,1.0172745860425366e-289,0.0,0.0,0.0
12.763819095477388,3.999266662554013e-307,0.0,0.0,0.0
12.864321608040202,0.0,0.0,0.0,0.0
12.964824120603016,0.0,0.0,0.0,0.0
13.06532663316583,0.0,0.0,0.0,0.0
13.165829145728644,0.0,0.0,0.0,0.0
13.266331658291458,0.0,0.0,0.0,0.0
13.366834170854272,0.0,0.0,0.0,0.0
13.467336683417086,0.0,0.0,0.0,0.0
13.5678391959799,0.0,0.0,0.0,0.0
13.668341708542714,0.0,0.0,0.0,0.0
13.768844221105528,0.0,0.0,0.0,0.0
13.869346733668342,0.0,0.0,0.0,0.0
13.969849246231156,0.0,0.0,0.0,0.0
14.07035175879397,0.0,0.0,0.0,0.0
14.170854271356784,0.0,0.0,0.0,0.0
14.271356783919598,0.0,0.0,0.0,0.0
14.371859296482413,0.0,0.0,0.0,0.0
14.472361809045227,0.0,0.0,0.0,0.0
14.57286432160804,0.0,0.0,0.0,0.0
14.673366834170855,0.0,0.0,0.0,0.0
14.773869346733669,0.0,0.0,0.0,0.0
14.874371859296483,0.0,0.0,0.0,0.0
14.974874371859297,0.0,0.0,0.0,0.0
15.075376884422111,0.0,0.0,0.0,0.0
15.175879396984925,0.0,0.0,0.0,0.0
15.27638190954774,0.0,0.0,0.0,0.0
15.376884422110553,0.0,0.0,0.0,0.0
15.477386934673367,0.0,0.0,0.0,0.0
15.577889447236181,0.0,0.0,0.0,0.0
15.678391959798995,0.0,0.0,0.0,0.0
15.77889447236181,0.0,0.0,0.0,0.0
15.879396984924623,0.0,0.0,0.0,0.0
15.979899497487438,0.0,0.0,0.0,0.0
16.080402010050253,0.0,0.0,0.0,0.0
16.180904522613066,0.0,0.0,0.0,0.0
16.28140703517588,0.0,0.0,0.0,0.0
16.381909547738694,0.0,0.0,0.0,0.0
16.48241206030151,0.0,0.0,0.0,0.0
16.582914572864322,0.0,0.0,0.0,0.0
16.683417085427138,0.0,0.0,0.0,0.0
16.78391959798995,0.0,0.0,0.0,0.0
16.884422110552766,0.0,0.0,0.0,0.0
16.984924623115578,0.0,0.0,0.0,0.0
17.085427135678394,0.0,0.0,0.0,0.0
17.185929648241206,0.0,0.0,0.0,0.0
17.286432160804022,0.0,0.0,0.0,0.0
17.386934673366834,0.0,0.0,0.0,0.0
17.48743718592965,0.0,0.0,0.0,0.0
17.587939698492463,0.0,0.0,0.0,0.0
17.68844221105528,0.0,0.0,0.0,0.0
17.78894472361809,0.0,0.0,0.0,0.0
17.889447236180906,0.0,0.0,0.0,0.0
17.98994974874372,0.0,0.0,0.0,0.0
18.090452261306535,0.0,0.0,0.0,0.0
18.190954773869347,0.0,0.0,0.0,0.0
18.291457286432163,0.0,0.0,0.0,0.0
18.391959798994975,0.0,0.0,0.0,0.0
18.49246231155779,0.0,0.0,0.0,0.0
18.592964824120603,0.0,0.0,0.0,0.0
18.69346733668342,0.0,0.0,0.0,0.0
18.79396984924623,0.0,0.0,0.0,0.0
18.894472361809047,0.0,0.0,0.0,0.0
18.99497487437186,0.0,0.0,0.0,0.0
19.095477386934675,0.0,0.0,0.0,0.0
19.195979899497488,0.0,0.0,0.0,0.0
19.296482412060303,0.0,0.0,0.0,0.0
19.396984924623116,0.0,0.0,0.0,0.0
19.49748743718593,0.0,0.0,0.0,0.0
19.597989949748744,0.0,0.0,0.0,0.0
19.69849246231156,0.0,0.0,0.0,0.0
19.798994974874372,0.0,0.0,0.0,0.0
19.899497487437188,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0
