# Result of 'intser'
# Date/time = Tue Jan 24 09:57:51 CET 2023
# Data set list (full path) = C:\Users\courtade\AppData\Local\Temp\topspin-dataset-list-7373343897086995002.txt
# Region to calibrate = 0
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.215437113415968  8.158648377608944  -0.0  -0.0  # for region 1
#   8.036958229451038  7.995718790353081  -0.0  -0.0  # for region 2
#   7.965972309692259  7.929465265244888  -0.0  -0.0  # for region 3
#   0.08392113180371151  0.061962820624996015  -0.0  -0.0  # for region 4

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3;
0;1.0;0.5964872380872867;0.5097855471701079;-104.82455951551925;
1;1.0507405267950154;0.7533284197098288;0.6618184617611572;-105.23814475383044;
2;1.1111959866231615;0.7295099053607921;0.6060495578416525;-104.19944549605144;
3;0.900238082136304;0.5117640983631887;0.4395891314406937;-103.88625675408633;
4;0.9431647006299432;0.5215663164331973;0.482906906171025;-102.57027868594274;
5;0.8221857420163331;0.48259327639565924;0.38257980413996723;-101.37309582406155;
6;0.7308782745103567;0.3889483589735388;0.42292771904410414;-100.19117076612679;
7;0.7229800629590766;0.41811240415249074;0.2693212341453643;-98.8834476396852;
8;0.7137386919117401;0.3872818111265652;0.3575626114273462;-98.10789352201358;
9;0.6905357810370818;0.3742169759638152;0.24509475712396345;-97.2138231306974;
10;0.4731071277449043;0.3244276392135347;0.25310519229408657;-96.35691908758403;
11;0.49911888194915616;0.2519520539497428;0.2282896768095313;-96.28441612409438;
12;0.7005852163543967;0.34216981385246065;0.22059151605705837;-95.79092522952305;
13;0.5936209275905562;0.3296791082179946;0.1661150812550504;-95.3705583233466;
14;0.5698598804086565;0.1683243143313085;0.20310116688167157;-94.87677900865341;
15;0.4231410523485232;0.36204288189168904;0.205693966191415;-94.31132593832092;
16;0.4968773913592693;0.30447270756829037;0.18674416782798234;-93.90980907618004;
17;0.5492909717182927;0.247936671181815;0.26140757151612753;-93.35717226840528;
18;0.5366213588653812;0.33400812076128816;0.2613793800756452;-92.84664506949325;
19;0.4681619695841464;0.2657379394171365;0.1636049587659522;-92.45115033275387;
20;0.5453401039776224;0.2511548325414882;0.19838777489026346;-92.04686257729944;
21;0.4386674881941566;0.1964778047975868;0.20647898938023015;-91.99111156410177;
22;0.5719609559392181;0.31248124523761184;0.14555023863783295;-92.61114543178037;
23;0.5760549494546446;0.24602670108913835;0.22695790231828514;-92.12909836454405;
24;0.38410566585607236;0.2603338571339118;0.08346374133485929;-91.76901261919355;
25;0.4331693440854764;0.2672814207835431;0.21385647249721676;-91.4681812156637;
26;0.4895137328909807;0.27032203028248636;0.12001069106165983;-91.07222294658563;
27;0.5204706452559904;0.3610252793188948;0.08808767971704468;-90.71841494710173;
28;0.45219233176554585;0.25806986760594763;0.12815395128790155;-90.97195439600787;
29;0.46257084793618325;0.309324346046679;0.19123663651176465;-90.6211566460101;
30;0.4315507759016314;0.3550237553546795;0.13078849561528225;-90.08690553671758;
31;0.547041891125199;0.3085767307308116;0.06458984300349438;-89.89296767227884;
32;0.4642593525781479;0.38157738157358656;0.1286215496997476;-89.46163754861328;
33;0.46641789527584643;0.3366114918612124;0.08412271625613332;-89.09684057984371;
34;0.6118350377860178;0.3790943662387983;0.1829266672865169;-88.91664062120923;
35;0.4220545976037818;0.2209992076578795;0.07826242056587268;-88.80566257610673;
36;0.4507662243773012;0.19509127385463462;0.04465957886867207;-88.44158557335561;
37;0.4615676121551733;0.2987812894493805;0.05598467686781169;-88.29011811400348;
38;0.5551561466963291;0.33067095899419446;0.1349754666699918;-88.06657842384367;
39;0.46173730294115334;0.28671860578146807;0.15552756892468358;-87.99432782796065;
40;0.5710509687690343;0.24534224544281297;0.004012943124039899;-87.56691062201973;
41;0.5758109850658555;0.3119971114616367;-0.08219214472618114;-87.3802900628154;
42;0.5866318899948306;0.43418152522740866;0.1484268498532012;-88.88012565792451;
43;0.5250094671736427;0.2236752259313544;0.1692557161533972;-89.52401246603812;
44;0.46446834873787735;0.3077683953892899;0.1377376856941722;-89.61793468964883;
45;0.538996216654473;0.34065723464196734;0.08528344460368391;-91.58237959069822;
46;0.48827900201216407;0.2191765226020808;0.021710933101440663;-95.97156567941506;
47;0.44345840664689107;0.2258194018372687;0.16236507752781668;-96.03889632679083;
48;0.42516731213318937;0.13595755887064004;0.010861294588896963;-95.88027257870087;
49;0.5181342796260189;0.19799526329585587;0.0019311136730383838;-95.85281140495567;
50;0.45414946830672176;0.19683589030602078;-0.04249480152548221;-95.57553422102035;
51;0.5225183196925615;0.3134717406560961;-0.06714116836714364;-95.38076226944348;
52;0.4138877541532904;0.21175648125282762;-0.017111391158134193;-95.40984445101643;
53;0.17217868060263541;0.12606426076215016;-0.2333909721791143;-97.1487231310498;
54;0.1767315982405288;-0.045167566940439885;-0.15759991087167663;-96.66890562725548;
55;0.2699254526149323;0.042057292054920176;-0.25580885986495755;-96.05647504528928;
56;0.22811049851954276;0.07746790987304907;-0.1802682686633435;-96.03748838119598;
57;0.24994585345926593;0.10939905336395718;-0.18626355798206753;-95.99997533248957;
58;0.16263804657171751;0.10615947735237918;-0.29780949796737;-95.62547698426403;
59;0.15099877665412598;0.053674605177520686;-0.22949513196169324;-95.72782736429278;
60;0.21368325778117642;0.02349105992497282;-0.3026684553774224;-95.94902580953483;
61;0.18390062734087217;0.01702519040742866;-0.3146652686603617;-95.58302446989926;
62;0.125314747945481;-0.004361270056922313;-0.24836116921830828;-95.94343983824618;
