phi14,psi14,phi13,psi13
54.922708217634636,-22.119304505266786,-49.40195308448558,-1.814718308497216
35.8635176687002,-58.408224340890165,-31.723960338646094,-25.223320204846406
26.889451619629906,-36.54539327030539,-29.275263831573994,-8.972986657551784
43.28076440969946,-48.971121356954875,-40.452325404587555,-13.420753460490232
34.08600242251487,-59.054682613115624,-47.456357278202915,-10.392839924116766
20.78531542740672,-68.85782184207227,-38.38534399505513,-14.996442160742891
40.6688359624705,-67.69590962714756,2.2489794087742534,-27.079758753149434
33.6116206087817,-53.413112944053644,-48.73088927960658,-29.603744021920438
28.79262550478944,-46.18492387275876,-42.21986672711025,-28.499745489161896
27.147234355511053,-52.33544838203408,-34.46581708052108,-30.524502285801006
35.19928918479848,-48.149759302805265,-17.283859042005943,-31.622869356375002
35.667525182572604,-51.62458754501558,-42.62119072129009,-40.648459417734564
42.0296186095928,-71.31805410943983,-39.698963041712965,-17.597761098334033
35.71043852544773,-68.53077536026873,-47.6144435233502,-29.87725904499081
20.125681144545897,-35.09442927918109,-54.573021701202016,-11.114907565012862
36.960607809204106,-41.78388950061973,-30.7957677423474,-30.619014827824312
53.13587731834586,-65.29214394539898,-48.066253827733924,-29.994419400178234
22.499189170252237,-26.879841620460475,-42.90283992294264,-30.647600258677798
27.981516598846174,-34.982961844509965,-25.4042585440728,-14.290310463662887
30.058365168867763,-27.889442243450638,-50.77229317301247,-7.154643160805222
25.54396453766162,-23.873441024338824,-50.03986826891053,-43.61095506406879
37.1104471438498,-49.28602672517392,-57.77881627875412,-8.395076081134858
34.56686227271506,-39.44029357189991,-35.07655806704146,-13.386078559747016
38.39677886541262,-51.4927001073727,-53.696683606690534,-13.747360931402483
22.166969797131202,-35.44826917341383,-57.04016845072001,-29.61085601456597
39.947152667692805,-59.49385388978138,-49.33236952810871,-11.60765394407107
36.693769166259166,-43.78262323965516,-53.759168225519105,-29.115067674851993
39.32839223707655,-44.97699417154667,-45.40751549142184,-38.66196711093161
32.91677421912828,-44.30213201506063,-40.2514339988612,-46.3974580235104
32.89845390404396,-46.353116488976084,-52.28826998517042,-37.797838349100005
21.746059961721382,-53.47845373229685,-38.867842767103824,-36.23701990083017
38.61601563277009,-58.78584532812979,-38.57615317814053,-19.642713114105025
36.55744835463514,-40.93272856679352,-49.910925677490006,-21.213861449578403
26.959340721505775,-34.24057174913038,-53.54773645916575,-14.570228357495859
51.60704444380328,-65.42360639478437,-27.895819337680535,-20.907036037657953
27.792277221526046,-46.96226640547761,-60.938595328493115,-23.952852813202195
29.501075230083195,-39.37963375720623,-61.96555683190509,-38.519212832991116
37.3394463645153,-54.36425033468441,-43.30860290412662,-38.920414476780095
40.06332771269463,-55.23024457886292,-46.71858580461756,-8.817317571882588
30.717018323814777,-44.028418797086054,-42.18802408893182,-22.322693909603828
35.81806430387484,-12.847228581426979,-29.454904617238036,-11.327428984630137
30.710924019457018,-31.822110879370474,-38.56776997446531,-19.435174011149122
23.936102549532567,-38.56521662009988,-41.9727134880422,-2.0105769526515282
34.390989234974604,-46.92429199567688,-47.37529869950004,-15.92443114819031
24.652779115624803,-50.52088893731904,-33.04585355089888,-29.764934176834757
39.843928937950125,-26.21318741313686,-45.54119634540496,-21.456885746071446
42.12802165139518,-52.626131406706456,-24.235276389763882,-34.99834353445282
31.19017583098537,-46.29015712563291,-28.3669612988477,-21.019015800096106
37.35196633451489,-57.53630847248794,-23.118853841122437,-20.633936382516225
31.274078725438553,-43.74321089094723,-12.446745611521632,-27.08061629953928
38.39514292497695,-28.40043389767989,-22.535374847726374,-27.601045986824143
