bind,memb
20.327799818075277,-3.2900032043457017
20.38136318374993,-3.5999984741210938
20.402092006714195,-2.320002746582034
20.56219125421984,-1.909999084472659
20.782821561559736,-1.8400001525878906
20.995090933865065,-2.200000000000003
20.620654071948184,-2.2500007629394503
21.526699973185394,-1.9300041198730469
20.572651841673686,-2.0699996948242188
20.850769382378953,-1.7700027465820298
21.55931369444679,-2.4700004577636747
20.870349676368452,-3.3400016784667983
21.358199766497936,-1.0200042724609375
21.26389879311558,-0.9400016784667997
21.093228392250555,-0.050000762939454546
21.13229174839994,-1.6999992370605455
20.67303239571213,-1.2200050354003906
20.599260752552222,-1.0700012207031264
21.36863125976356,-2.610004425048828
20.688054418026493,-2.4300033569335966
20.451713718379757,-2.0000015258789077
20.82210200011576,-2.8200019836425767
20.781951806346953,-1.500002288818358
20.57400948049371,-1.5800018310546875
20.881070694565665,-0.9300018310546889
20.210874284409662,-4.150003814697264
20.045039294036332,-3.5000015258789077
19.573616355422633,-3.3099990844726577
19.53257043813865,-4.450003051757811
19.97993235023971,-4.299999237060547
19.421093150977228,-3.8699989318847656
20.19618753941046,-5.030004119873048
20.014074070497603,-4.450001525878903
19.37128666599777,-4.549999237060547
20.76018479839243,-3.480001831054686
19.64232911618228,-3.3700004577636733
19.937083490040347,-4.410003662109375
19.399228349617644,-3.6300048828125
20.470484673763703,-3.730001831054686
18.696816425378003,-3.580002593994138
20.068293864581324,-4.630001068115234
20.53865387780841,-4.620001983642581
20.728502517361864,-3.25
20.71852174685783,-3.1600044250488253
19.9903878360893,-1.8300025939941378
20.250551437340768,-3.120001983642581
20.23343516522868,-2.1000045776367173
20.427420157628518,-2.020001220703122
20.290102836071952,-1.5100044250488267
20.719616309391306,-2.400000762939456
20.434398405937955,-3.3100028991699233
19.939344855998797,-2.690000152587892
20.32336249087914,-2.6199989318847656
20.41325842739544,-2.16999969482422
21.008856826940672,-2.8300018310546875
20.7609734664297,-4.510000610351561
19.767012166229996,-4.970001983642575
20.270975279218327,-3.9599990844726562
19.566254959656924,-3.180002593994139
19.798219617514455,-3.140000915527345
20.11097230793421,-3.260005187988284
20.296182026685532,-2.8300018310546875
21.265420492694325,-2.790003967285159
20.248511572722734,-1.9100044250488253
20.238415006681226,-2.0000015258789077
20.21942932615969,-0.6800003051757812
20.46640838029681,-0.05000457763672017
19.941297074213423,-0.14000320434570312
20.400918106606337,-1.9900024414062472
19.572512941881627,-1.0300025939941406
20.61160837428656,-1.4200035095214858
21.041631330254628,-1.380002593994142
20.799213679379413,-0.2400009155273466
20.789494762318505,-1.2600013732910185
20.35294252947082,-1.7199981689453097
21.287593904083227,-2.730001068115236
21.14886687365003,-1.9000061035156222
20.83679728268108,-1.7099990844726562
20.663317932769342,-1.0900024414062486
20.40047219762194,-1.9000038146972642
20.80475223401997,-1.6100013732910128
20.555011494680002,-1.840005493164064
20.38998108109484,-1.239999389648439
20.293098741519472,-0.7699989318847642
20.69498923095686,-0.9800033569335938
20.788846023785688,-1.0900039672851562
20.354972370975144,-0.970001220703125
20.35766163270554,-1.2100021362304716
20.25976287758639,-1.8200035095214844
20.597950907134816,-1.7000015258789034
20.094718755987937,-2.3400016784667983
20.063550636765925,-1.6800025939941392
19.959688620040623,-1.4800010681152358
20.723936913331563,-0.09000015258789062
19.424594405724054,0.25999679565429545
19.809364899858966,0.45999908447265625
20.142606699333033,1.0799942016601562
19.31805306234543,1.220001220703125
19.71785754042576,1.319998168945311
20.58852539530135,-0.44000244140625
19.753695673789984,-0.6200035095214815
20.251482628204716,-0.4500007629394531
20.29883563247656,-0.5400024414062514
20.02836518878467,0.23999633789062358
19.756496162810322,-0.17000122070312784
20.855301665596365,-1.260005187988284
20.57685686858545,-0.9000022888183565
20.530366040381832,0.22999649047851278
20.121047082989346,0.25999755859375284
20.433668474538607,-0.37000274658203125
20.869710180758894,-0.6100006103515625
20.827395467746918,-0.6700042724609361
20.687473566081792,-1.260000610351561
21.324508932508234,-2.0400009155273438
21.45337315990855,-1.2100021362304716
21.123865699516774,-1.4800033569335938
20.5314239205298,-0.16000289916992472
20.540700277622847,-0.5499999999999972
19.98500824230269,-1.260002899169919
20.41027149109665,-1.2100013732910142
20.220554598759474,-1.3400016784667983
20.505394188441386,-2.2200042724609403
20.38528777411779,-1.6800041198730469
19.928906404215894,-1.5600006103515653
20.227321410955565,-1.4600044250488295
19.467690612714193,-1.5500022888183622
19.809098941052447,-2.1800010681152315
19.73948113290082,-1.7600013732910185
20.779600776366262,-2.3800041198730497
20.628035552299657,-2.200003051757811
21.489424161390776,-3.1200027465820312
20.42058649591171,-3.9900032043457045
21.429975078335822,-2.770003509521487
