PC1,PC2,RMSD
0.0470026973994457,0.085824173316842,1.6487058896666227
0.03681989224984259,0.061117844167951685,1.4708745450345764
0.06762892542674889,0.14288741945757005,2.1938920301775258
-0.008010699842535112,0.21089546651363686,2.4829538721400257
-0.035650159391301124,0.1809516221123339,2.273029939514896
0.03563930341027708,0.22897116706787168,2.6521778005579115
0.058961124215723734,0.2957244383615799,3.3441820883165696
0.02843257781171169,0.255118568782539,2.8380800682455325
0.030272289666217575,0.2637111157362465,2.9365438320857025
0.04068892922623789,0.21861846499580287,2.5262787845842087
0.07635514507672923,0.15776281942599163,2.1096670411933136
0.016239380562260125,0.20385916083273062,2.527508545684859
0.022770127479585338,0.22835733916605283,2.5691965629300317
0.04649468756453484,0.20334711935687252,2.4897062359196327
0.059340430784677725,0.2334260792704172,2.677686390528048
0.02646511120334997,0.2259621096257845,2.6008811410351047
0.03608758182826845,0.2454874134490052,2.8056405303244625
0.008454094294672159,0.1563014932634621,2.0324532699019486
0.05989585510276591,0.2224344837108379,2.6408636879308633
0.02890515621369168,0.18825100254374189,2.3450792424535036
0.009723111360114708,0.1602890764765965,2.1742062590972537
0.05620210630537692,0.23115388450940857,2.7268362141921685
0.03911831295735365,0.1834182978302417,2.3385586823097047
0.002783744868942512,0.15491531415937737,2.0929333100820493
0.0619372741579453,0.11391591219250484,1.9236836633585148
0.07850486596364804,0.10755510238752054,2.0386142000984324
0.008264657652706493,0.14963138033578577,1.9576982462637833
0.037458172178885786,0.1464251978787561,2.0312746475492207
0.08472147147502238,0.13269871911935743,2.2804315776976463
0.04675460758304001,0.19924136073319398,2.380852735594079
0.08126222832311467,0.1822480780273281,2.415597023407925
0.08063338249570383,0.17757780601089224,2.3240415669932055
0.06381466925924185,0.15571272660111685,2.0798587006050697
0.06458050214082266,0.16188761743151517,2.270296222141738
0.07607884214964065,0.19947481547576837,2.5765420651529762
0.050500261314896815,0.22495630746021514,2.729164684522827
0.1230905579418478,0.12815275089138398,2.2926215031470822
0.15488865914172376,0.16737444980861074,2.645587088546089
0.1391464022101462,0.1354936709280094,2.469135990996779
0.14689619767701476,0.13827725937018698,2.6121233984578245
0.18254296459455396,0.2000725250469518,3.1117732387697603
0.06773480853757212,0.2237443977832798,2.7425871779164295
0.07220748559663043,0.17882008960845028,2.4151599113895306
0.07851398143403045,0.15860687987155742,2.210323131150895
0.06333332680425169,0.19027148217219886,2.413616816498916
0.045764179611875025,0.2022200403122616,2.414535269271482
0.056819392091326984,0.1958059795874901,2.4463673009535203
-0.01145978571079267,0.15522024729008022,2.1238040645149003
0.027718305311363083,0.19061036644902885,2.3758247369911385
0.021810369326889928,0.19201540154858898,2.3847545662962055
0.04537537227607686,0.18616937385208354,2.3697023578584537
