CV,phi,theta
0.704354,-56.985920067510904,111.65504614358194
0.574583,-40.71768580776722,108.12632870739941
0.720824,-62.8235776379009,110.38148715446191
0.785654,-68.79076678988221,137.12201865140946
0.784445,-73.4783749623786,132.45789831318623
0.7651,58.24453263083927,83.86077637988572
0.855508,-89.16114286118562,125.66327915608043
0.699814,-53.952964297593624,108.25677611059403
0.793061,-138.54071075022313,115.1777365596675
0.709613,-54.60304372938558,87.4111728908696
0.699759,72.94702535294591,58.77342491507347
0.853609,-85.08255959302213,143.79055626234296
0.917527,-89.28769556799506,139.8536591622359
0.689749,60.747685006202644,36.82044685758425
0.750449,13.646646825370661,145.01503260954988
0.769509,-72.22737903373442,124.83095037853596
0.696743,-62.01357050684314,131.96206522124527
0.678497,-74.55683499741225,94.99903356574376
0.72386,-60.85324810385506,124.01081240564787
0.797809,-88.65526743638311,130.77359998451095
0.7299,-63.604849419284335,119.97899080444701
0.753337,-56.43551537941247,148.7077356068863
0.917045,-167.4775973793625,105.83244315658125
0.705874,-111.41687160854443,147.79015723493626
0.904951,-147.1362476003219,120.38528293062335
0.85704,98.14091630493637,85.05096174284625
0.699821,102.07518204458107,65.14777975689633
0.702254,97.6376442618975,68.6913872935047
0.789189,-90.28137118722992,141.9076998620164
0.934688,104.52858958189086,75.83465621043999
0.829832,-105.31409898509361,134.53106375148477
0.912839,-127.78706304894594,139.45308771181442
0.918434,-123.7034077921571,153.28305564529458
0.919207,-150.34112045235756,162.82784456003213
0.976078,124.29675232591826,74.57696680983193
1.012586,145.251194715844,106.71545372147695
1.008395,179.63296497587172,82.12870480458189
0.694347,140.74833278728823,109.63679675761699
1.003234,124.28075043412532,91.15500205695125
1.002919,123.99443139358688,130.97839574630845
0.744314,105.49994585577517,78.95450623590081
0.72875,125.29285683954971,76.15199838200266
0.653074,114.65406555161414,76.98067525237119
0.600144,106.84555142641946,61.17552914088462
0.706208,98.71604707046369,69.3215702146839
0.707449,111.88238627196587,68.65901021647922
0.7105,106.84238887805218,74.4462440555882
0.972649,110.39867002401994,59.24297813095409
0.880014,-171.75409964495088,110.99078138056431
0.875851,136.84971232537558,133.46657510980097
0.617107,102.1268418598924,55.81461379199449
0.654047,104.80177388186928,69.19312584741314
0.902693,45.30618846549415,155.81672501890029
0.846556,-135.9604628913967,160.205671137375
0.709029,103.68584870306657,54.31658382716497
0.704342,-115.1924822178347,141.2356876920573
0.766418,-91.27828173621101,159.21557080525275
0.842375,8.168030092495654,126.35320858134989
0.729037,92.46401528134254,59.74808572528092
