CV,phi,theta
0.328568,3.255681890838106,96.8556220611587
0.298505,9.671230247120889,90.66192860792837
0.362131,95.73920293043898,60.546349892490326
0.343984,16.73140192177257,72.29770023591803
0.319083,6.354186054874888,99.5355406985902
0.353146,98.23663760634246,54.40998285953061
0.376516,94.72709078669166,52.62973452721205
0.352443,100.28423560234951,56.0378785297876
0.570486,97.44829570915248,57.588078814457894
0.543645,89.90400566201663,59.85136311184846
0.555072,96.79763722801029,63.19364269064905
0.607968,95.64225356330553,65.22337615292541
0.578769,97.15343925872546,54.32694554329696
0.355502,68.66353694116602,74.7202548613217
0.508354,100.8421591202856,53.146193408225386
0.521278,93.1399111608958,59.770959375377586
0.51441,95.06782993804846,62.17934698463875
0.34979,11.14816509050967,32.93308515991269
0.501188,91.01293389253199,62.13800555226812
0.368555,81.52355309714405,49.1705364257986
0.376536,79.761681150181,44.47113157428978
0.332503,-74.14035003950795,64.34086731529696
0.3476,-4.686933927897113,51.907873140900534
0.348369,-5.790375724533487,57.279133790720124
0.351665,-13.432326985708654,46.05517977286118
0.347935,-14.473924305236364,51.3779912982005
0.433158,49.499286563323054,73.76955275174767
0.338768,78.42297269823928,43.083989102110465
0.357735,80.13221429307087,36.5384759535053
0.384731,53.75749763369006,66.14404729206029
0.358469,72.13142718803283,74.69783609103685
0.393666,50.93669337894179,57.13603603786419
0.37945,64.34845667607384,50.07842675905451
0.322529,47.69994611759572,59.01542596784878
0.316422,58.13028778852053,67.32716304820816
0.332651,15.075792979243388,45.79793466382527
0.311358,32.03631936653038,91.10736081495043
0.358613,76.98409836050598,52.71402777876734
0.309776,14.49973719665626,38.25547207625055
0.313653,16.28256431129172,43.53501663319032
0.355795,69.09502047407956,44.10041104185506
0.374596,-3.82954612421305,51.33382719956927
0.337055,6.694849779144129,48.614165690673985
0.323077,17.25008924613347,39.38271845989088
0.352202,70.48187391216966,36.0462443455345
0.344697,12.934600014355993,42.939081160322445
0.361659,82.50688519012128,46.195888676008956
0.326636,12.093040892439786,42.45920389541182
0.369459,90.78228379262288,44.38421687505239
0.327794,17.94496350883703,47.6548589516224
0.367116,94.90715726654707,34.48167181877562
0.363853,75.81514142903018,48.46191119713843
0.3202,28.490253514697386,73.25076319074668
0.956557,-155.21989628024755,101.16229462205895
0.322525,20.360877146478785,42.54658424001067
0.312695,19.281296712467935,66.22554854623135
0.367867,86.95394322811569,46.11730948269087
0.361334,70.10300150533222,48.58272952477501
0.368644,72.03209169769629,66.08994068755499
0.374128,72.14853140447691,57.38492769132426
0.319202,39.2424974548143,30.953916339144037
0.302618,29.513994386100066,38.75769317812621
0.35488,10.265541385255817,42.52157365869601
0.319429,20.57446259893779,41.49576397315456
0.335112,14.878518293643358,40.282919788027925
0.311745,9.85740108846318,43.125984454321426
0.314517,29.880738348468398,43.551926459568655
0.345983,63.566778750809576,35.54309125247579
0.356284,70.83289494119568,50.55623398949169
0.310577,26.02533382057347,42.90834348642212
