x,kde_mean,kde_std,ci_lower,ci_upper
0.0,3.181768824471788e-20,8.754733151421878e-19,3.836655907949e-45,1.524056383786335e-20
0.10050251256281408,3.173789662834814e-19,8.1824852729241e-18,1.9604757121955386e-42,2.2730957976414415e-19
0.20100502512562815,2.974154481016866e-18,7.129157384049134e-17,8.148089373081915e-40,3.092282442135622e-18
0.30150753768844224,2.6216183093897274e-17,5.7917498747825435e-16,2.5585441329557895e-37,3.881078527742466e-17
0.4020100502512563,2.1765002371902566e-16,4.3887632396702516e-15,6.535264376948594e-35,4.445541646657998e-16
0.5025125628140704,1.704080960903686e-15,3.1032865333713693e-14,1.5060597044009915e-32,4.660025170630518e-15
0.6030150753768845,1.2597732127559485e-14,2.0487656125094078e-13,2.900128493258547e-30,4.4139088282819006e-14
0.7035175879396985,8.803059930687259e-14,1.263766864203123e-12,4.542586446383675e-28,3.923103687514547e-13
0.8040201005025126,5.819609155803778e-13,7.290265898479366e-12,5.788169595516761e-26,3.153537595200519e-12
0.9045226130653267,3.641990547270793e-12,3.9374313447966256e-11,6.000391842480421e-24,2.3284777999879385e-11
1.0050251256281408,2.1582548048682444e-11,1.9937149573493717e-10,4.520106570941076e-22,1.597313917132255e-10
1.105527638190955,1.2110946255272366e-10,9.478987492401858e-10,3.051120273611351e-20,9.808225403229264e-10
1.206030150753769,6.433017292987771e-10,4.2385754879977775e-09,1.4991528222128128e-18,5.6595591341244825e-09
1.306532663316583,3.2324004822314676e-09,1.785335389604275e-08,6.894601829672439e-17,2.994714848518324e-08
1.407035175879397,1.5349483340166614e-08,7.09284194530967e-08,2.5983066107847253e-15,1.437488605229419e-07
1.5075376884422111,6.879965928846587e-08,2.659786137747017e-07,7.315906836039781e-14,6.243795421001641e-07
1.6080402010050252,2.906412209930005e-07,9.41444259128874e-07,1.7917608137045405e-12,2.5255617986864433e-06
1.7085427135678393,1.155188891946803e-06,3.142457483621967e-06,3.511947717356146e-11,9.36515489153001e-06
1.8090452261306533,4.3113283614739145e-06,9.873539766011155e-06,5.727442745227804e-10,3.1408719824571566e-05
1.9095477386934674,1.5074918358354178e-05,2.9122340637761972e-05,7.494006751662233e-09,9.781553878072357e-05
2.0100502512562817,4.925905399611876e-05,8.035403641836872e-05,8.09000871568347e-08,0.0002813495645055784
2.1105527638190957,0.0001499937320972177,0.00020652920214257877,7.206326702394808e-07,0.0007442026688011665
2.21105527638191,0.0004242669582154408,0.0004920502450384853,5.112347223602553e-06,0.0018112136039368971
2.311557788944724,0.0011108336168679895,0.0010805653137567425,2.9946315858259274e-05,0.004066808099898389
2.412060301507538,0.00268164524174648,0.002173573695387803,0.00014583966096494728,0.008278219715728188
2.512562814070352,0.005943417160050417,0.003977527271204456,0.0005971634163365175,0.015683646394004856
2.613065326633166,0.012038340649733002,0.006575241572089826,0.0019911971740280343,0.027203666195412955
2.71356783919598,0.02217894220362517,0.00975505897957575,0.005624854676055614,0.0432259650579539
2.814070351758794,0.036994475769336906,0.0129295542981174,0.013117899147302518,0.06362942005430759
2.9145728643216082,0.05562770944311498,0.015319269153323349,0.025956947301257804,0.08578227506548937
3.0150753768844223,0.07514057137818625,0.01642288355639381,0.041963648748168915,0.10680369546109966
3.1155778894472363,0.09097891870322683,0.016446320807122806,0.05722541361351345,0.1224510452450086
3.2160804020100504,0.09873297633731273,0.016184477811050448,0.06627126869693377,0.12998219943994485
3.3165829145728645,0.0963190610501793,0.016284024799885347,0.06395231134260841,0.12711426393409664
3.4170854271356785,0.08503090286391071,0.01658937251265869,0.052228109117792396,0.11628281234126198
3.5175879396984926,0.06864184319229108,0.01638979324745932,0.03663642126535334,0.0997542213039438
3.6180904522613067,0.051335983147046516,0.015225606331968095,0.022430374934578494,0.08090245214262881
3.7185929648241207,0.03603074156346686,0.013200466451380741,0.011545639335421113,0.06267887928481804
3.819095477386935,0.023945777293217337,0.010690888425341452,0.0049533704953075896,0.04640773269633537
3.919597989949749,0.015104785814659898,0.008068426758383112,0.001746227453168064,0.03280600582542923
4.020100502512563,0.009008787653935918,0.005645592525595531,0.0005269904613551182,0.022011945705802078
4.120603015075377,0.00504462128851616,0.0036505239508204394,0.000130361328062069,0.013851491666272218
4.2211055276381915,0.002633820451728402,0.0021807578179094387,2.8462865339795784e-05,0.008079495804394732
4.3216080402010055,0.00127587082968648,0.001205420733680443,5.159309853674178e-06,0.004392220191319642
4.42211055276382,0.0005720540979272691,0.0006178017308117338,7.65559988275154e-07,0.002196962375765571
4.522613065326634,0.00023731858055420747,0.00029418523693775547,9.893181477305935e-08,0.0010180769501400419
4.623115577889448,9.119468594981367e-05,0.00013041482802687068,1.0435462128832271e-08,0.0004437935767541961
4.723618090452262,3.2523422084979734e-05,5.3938839364012754e-05,9.602079247061742e-10,0.0001756075865790714
4.824120603015076,1.0790355791236395e-05,2.0861670384462365e-05,7.823413941630956e-11,6.526371600201927e-05
4.92462311557789,3.3386246789191947e-06,7.5627110371784145e-06,5.187828268407062e-12,2.250642949479906e-05
5.025125628140704,9.657224301629706e-07,2.5750968130616715e-06,2.587334290400869e-13,7.176807197962457e-06
5.125628140703518,2.6175016882205304e-07,8.2489708643202e-07,1.0448958867838081e-14,2.0978041716569203e-06
5.226130653266332,6.661575452993683e-08,2.4884262965966016e-07,3.219763065072771e-16,5.701311539968799e-07
5.326633165829146,1.594866570513087e-08,7.071549294627591e-08,1.0389857959514963e-17,1.375904026609912e-07
5.42713567839196,3.599715233923277e-09,1.8938552444901274e-08,2.731283356287721e-19,3.183242526644634e-08
5.527638190954774,7.808095229441974e-10,4.8522845648194104e-09,1.3694070766759795e-19,6.582421329752375e-09
5.628140703517588,2.430524661071327e-10,1.620240440371911e-09,4.568536054187548e-19,2.0174431993301336e-09
5.728643216080402,5.171880935009155e-10,2.9874475759939085e-09,4.779199414140312e-18,4.637558248929487e-09
5.8291457286432165,2.531523422716316e-09,1.230718548260815e-08,2.0416440164089702e-16,2.2920364815019697e-08
5.9296482412060305,1.2387474090041722e-08,5.074836227267111e-08,6.900700097145341e-15,1.1277543541208871e-07
6.030150753768845,5.747683500871552e-08,1.981233969414132e-07,1.9631701282529575e-13,5.007391605518031e-07
6.130653266331659,2.5212451576456167e-07,7.304184458746843e-07,4.5569114688899e-12,2.0641781605120556e-06
6.231155778894473,1.0440033918198269e-06,2.5411907255530063e-06,8.234858431057188e-11,7.763242177291577e-06
6.331658291457287,4.073913563053941e-06,8.332895859988388e-06,1.3009036524433675e-09,2.6787027331217408e-05
6.432160804020101,1.495192740356877e-05,2.5703353064908982e-05,1.7543990020375022e-08,8.644107513283155e-05
6.532663316582915,5.150163625977542e-05,7.437298650280807e-05,1.9066669489039566e-07,0.0002576928856642539
