x,kde_mean,kde_mean_norm,kde_std,kde_std_norm,ci_lower,ci_upper,ci_lower_norm,ci_upper_norm
0.0,2.9201377082814716e-199,3.0848272771195583e-199,0.0,0.0,0.0,1.9690115967362406e-225,0.0,2.080059671621217e-225
0.10050251256281408,2.8606518841138377e-189,3.021986578725835e-189,0.0,0.0,0.0,6.400242097511739e-214,0.0,6.7612021674801184e-214
0.20100502512562815,1.5211824333022376e-179,1.606973893874161e-179,0.0,0.0,1.27248055966728e-309,1.0803064171898174e-202,1.344245762428825e-309,1.1412334061997687e-202
0.30150753768844224,4.390909441763397e-170,4.638547414698814e-170,0.0,0.0,2.0539344610448185e-293,9.024422691244405e-192,2.1697720052304417e-293,9.533380976950852e-192
0.4020100502512563,6.87999877780169e-161,7.268016106268554e-161,4.3502426883795543e-159,4.595587142738147e-159,1.4878426293091904e-277,3.719945373015821e-181,1.5717537956986891e-277,3.929742396575972e-181
0.5025125628140704,5.851797092685979e-152,6.181826028441063e-152,3.699789072883264e-150,3.9084493238971106e-150,4.332518937299287e-262,7.108593920615655e-171,4.576863809715109e-262,7.509503529950556e-171
0.6030150753768845,2.701889097833023e-143,2.8542699082682675e-143,1.708015990199901e-141,1.8043444668319577e-141,6.601730456565936e-247,7.175958290878595e-161,6.974054042331677e-247,7.580667107717372e-161
0.7035175879396985,6.77235812068798e-135,7.154304744557855e-135,4.280143968462334e-133,4.521535003800129e-133,3.8479863210982365e-232,3.577637431379931e-151,4.065004582366975e-232,3.779408589076364e-151
0.8040201005025126,9.21580704535831e-127,9.735559002428948e-127,5.822055304950537e-125,6.150406867003437e-125,3.5148384904685696e-218,8.711740141222828e-142,3.7130679211865625e-218,9.20306379476785e-142
0.9045226130653267,6.809115157541231e-119,7.193134800273866e-119,4.2987862184889246e-117,4.541228637160575e-117,1.2009782573057235e-204,1.0601761744269119e-132,1.2687108819756734e-204,1.1199678604709013e-132
1.0050251256281408,2.7319901694603456e-111,2.886068616446705e-111,1.72292792603948e-109,1.8200974042027307e-109,1.5206030082098048e-191,6.37177684981668e-124,1.6063617904363283e-191,6.731131540231734e-124
1.105527638190955,5.95392616362464e-104,6.289714962214626e-104,3.748353267184287e-102,3.959752435680594e-102,7.85572592229149e-179,1.8912653467354953e-115,8.298772190754547e-179,1.9979286981346276e-115
1.206030150753769,7.05057633549742e-97,7.448213876172322e-97,4.426566341950469e-95,4.676215288375684e-95,1.5058962077115666e-166,2.772386414109023e-107,1.5908255576047543e-166,2.928743123553691e-107
