x,kde_mean,kde_mean_norm,kde_std,kde_std_norm,ci_lower,ci_upper,ci_lower_norm,ci_upper_norm
0.0,5.7707473725964324e-208,7.3722399928109305e-208,0.0,0.0,0.0,2.1596983864405138e-237,0.0,2.7590559400562164e-237
0.10050251256281408,1.2679719394455526e-198,1.6198583715746146e-198,0.0,0.0,0.0,1.5075622917222517e-226,0.0,1.9259396229102142e-226
0.20100502512562815,1.6776931794698457e-189,2.1432850815974686e-189,0.0,0.0,0.0,5.837221822604513e-216,0.0,7.457162372393315e-216
0.30150753768844224,1.3368711603143732e-180,1.7078784422459972e-180,0.0,0.0,0.0,1.2536765699927356e-205,0.0,1.6015957640495433e-205
0.4020100502512563,6.416515174272863e-172,8.197220693958237e-172,0.0,0.0,0.0,1.4935260579827314e-195,0.0,1.9080080662085082e-195
0.5025125628140704,1.8552882119965797e-163,2.3701661278091773e-163,1.154979326122925e-161,1.4755081498364376e-161,0.0,1.006691154910891e-185,0.0,1.2860671787307696e-185
0.6030150753768845,3.2322790511862227e-155,4.129298226125362e-155,1.9886969701714328e-153,2.540598364555209e-153,0.0,3.89657132471904e-176,0.0,4.977944293896387e-176
0.7035175879396985,3.3938227534043216e-147,4.3356733912789123e-147,2.0738864734917693e-145,2.649429582211391e-145,0.0,8.35389816569391e-167,0.0,1.0672264470535765e-166
0.8040201005025126,2.1481584184416047e-139,2.744313410518134e-139,1.3018212191523833e-137,1.6631014729391891e-137,2.25068735694256e-310,9.920062123823952e-158,2.8752960878099e-310,1.2673068841604671e-157
0.9045226130653267,8.199215060964893e-132,1.0474653849715546e-131,4.91907676121026e-130,6.284214519407147e-130,5.082130047847282e-295,6.5246448761966e-149,6.49251820748973e-295,8.335358453500157e-149
1.0050251256281408,1.887809760657379e-124,2.4117130274020836e-124,1.1189320310719307e-122,1.4294570418864413e-122,1.127944654277974e-279,2.3749867788089526e-140,1.4409708401780192e-279,3.03409097342876e-140
1.105527638190955,2.622980427202451e-117,3.350907596060959e-117,1.5322927111662512e-115,1.9575332061139806e-115,6.355386946548678e-265,4.681655314764096e-132,8.119128215459194e-265,5.980904086697301e-132
1.206030150753769,2.2002553692946914e-110,2.8108682603121955e-110,1.2633929964155132e-108,1.6140086843935117e-108,1.4401685974822703e-250,5.064783598089652e-124,1.839842891263527e-250,6.470357786598017e-124
1.306532663316583,1.1148096961667606e-103,1.4241906803063154e-103,6.27261601373327e-102,8.013386767819031e-102,2.0126664474269737e-236,2.98111843738883e-116,2.571219829578822e-236,3.8084357446989777e-116
1.407035175879397,3.4135147865202337e-97,4.360830339712711e-97,1.8756226733451457e-95,2.3961437905809087e-95,1.0888324157098371e-222,9.59522095579979e-109,1.3910042083428355e-222,1.2258078044816137e-108
1.5075376884422111,6.319920498059305e-91,8.073819150086145e-91,3.378509882071208e-89,4.31611090566694e-89,2.2755828385117206e-209,1.713745117182907e-101,2.907100541031349e-209,2.189342120636933e-101
1.6080402010050252,7.07901025968316e-85,9.043570819575501e-85,3.667024713786637e-83,4.684694113968883e-83,1.4447841033545382e-196,1.699014071732783e-94,1.845739288173946e-196,2.1705229287036604e-94
1.7085427135678393,4.799867287176454e-79,6.131922139365121e-79,2.3992412784289606e-77,3.0650765599670575e-77,1.657858226186824e-184,9.349878005684847e-88,2.1179455499203374e-184,1.1944647739864528e-87
1.8090452261306533,1.9711758280892547e-73,2.5182147708821697e-73,9.466985516777925e-72,1.2094254822101171e-71,7.901523698881522e-173,2.85608959092488e-81,1.0094347448591987e-172,3.648709005224359e-81
1.9095477386934674,4.905727253775497e-68,6.267160268676603e-68,2.2541528157769204e-66,2.8797232776629025e-66,3.620458103462705e-161,4.842763723913605e-75,4.625204379833238e-161,6.186723156641401e-75
2.0100502512562817,7.403027898985472e-63,9.457509542692041e-63,3.2411415188824265e-61,4.1406201978850704e-61,6.935283051693734e-150,4.859316949117033e-69,8.859956566103518e-150,6.207870218014114e-69
2.1105527638190957,6.778053304702561e-58,8.659092561151184e-58,2.8165338022344013e-56,3.598175729635842e-56,4.615585872257719e-139,2.765740491025581e-63,5.8964991119341994e-139,3.5332863043875357e-63
2.21105527638191,3.767803418909441e-53,4.8134408346896955e-53,1.4805808252948146e-51,1.8914702841889214e-51,8.904882456534504e-129,8.702428326113098e-58,1.1376157426175232e-128,1.1117518407581197e-57
2.311557788944724,1.2726938251257212e-48,1.6258906707215373e-48,4.712630317772556e-47,6.020475244679505e-47,1.1301562819926438e-118,1.512044454403615e-52,1.443796236826766e-118,1.9316656713473277e-52
2.412060301507538,2.6150661294126315e-44,3.340796929467202e-44,9.090899242507334e-43,1.1613797423274262e-42,5.524136326502725e-109,1.4276783153399133e-47,7.057189671025147e-109,1.823886317255688e-47
2.512562814070352,3.2733029267333865e-40,4.181707010714527e-40,1.0636771817317859e-38,1.3588679164576363e-38,7.2456695485839e-100,7.546173679767143e-43,9.256481244426529e-100,9.64038101180055e-43
2.613065326633166,2.500665942597483e-36,3.194648505706934e-36,7.553393907202694e-35,9.649604990259619e-35,3.113621306621824e-91,2.223096720923023e-38,3.977710691018827e-91,2.8400485232992545e-38
2.71356783919598,1.1688590412132891e-32,1.4932397509742579e-32,3.256800502469365e-31,4.160624848512231e-31,6.660107818612066e-83,3.6327396712047428e-34,8.508414949849575e-83,4.640894317208114e-34
2.814070351758794,3.353419389421765e-29,4.2840573220656313e-29,8.52883600946299e-28,1.0895750907355862e-27,5.312400053558175e-75,3.2814373602081676e-30,6.786692538063978e-75,4.1920989048505306e-30
2.9145728643216082,5.929606663518069e-26,7.575185771259579e-26,1.3569966428902752e-24,1.7335891306440457e-24,1.7337713274295694e-67,1.5996563719452427e-26,2.214925986738224e-67,2.043591569440599e-26
3.0150753768844223,6.497737791477596e-23,8.300984138832118e-23,1.3124899061453956e-21,1.676730924350312e-21,2.7904688046281605e-60,4.275782136044485e-23,3.564877197338665e-60,5.462393348491178e-23
3.1155778894472363,4.4459949119786037e-20,5.679843420900826e-20,7.724577870006298e-19,9.868295772445215e-19,1.5030809401629827e-53,6.174725830454597e-20,1.9202146106970694e-53,7.888330188926386e-20
3.2160804020100504,1.919188717623403e-17,2.45180024428081e-17,2.7710080164369603e-16,3.5400156687130867e-16,3.5042992172275064e-47,4.910493542007384e-17,4.476809183971768e-47,6.273249292931458e-17
3.3165829145728645,5.29460688694206e-15,6.763961427853021e-15,6.074364891622727e-14,7.760117172621799e-14,2.5030439296628505e-41,2.2128100820265528e-14,3.1976864296037484e-41,2.8269071456287844e-14
3.4170854271356785,9.457802596023964e-13,1.2082523465439358e-12,8.168953745515538e-12,1.0435994441221907e-11,7.166264643648604e-36,5.437902335264434e-12,9.155039961696118e-36,6.947024100103509e-12
3.5175879396984926,1.1017736144498393e-10,1.4075368369169108e-10,6.780979088010277e-10,8.662830305210797e-10,7.3447537663234515e-31,7.745481201641745e-10,9.383063225149634e-31,9.89500017787416e-10
3.6180904522613067,8.31968995088358e-09,1.062856282272062e-08,3.5055072525958566e-08,4.4783524722289485e-08,3.4463672535195e-26,6.436202503369263e-08,4.4027999938037235e-26,8.222371632917259e-08
3.7185929648241207,3.980610546085065e-07,5.085306004384944e-07,1.1389519122974677e-06,1.4550328225423572e-06,6.533691740247318e-22,2.925640729637843e-06,8.346915995124826e-22,3.737561913393608e-06
3.819095477386935,1.1631517131494662e-05,1.4859485303597474e-05,2.327790186938473e-05,2.9737964258344202e-05,4.658045319053102e-18,7.215305913351132e-05,5.950741866213133e-18,9.217691120455218e-05
3.919597989949749,0.000198435131868817,0.0002535046711781105,0.00029485807631219224,0.000376686824433626,1.1011465697119772e-14,0.001016091870124671,1.4067357752874067e-14,0.0012980767719749933
4.020100502512563,0.0018845630755038951,0.0024075653251051086,0.0022515309356393337,0.002876373775707842,1.0048355391664697e-11,0.00785543422029038,1.2836965941740318e-11,0.010035467259358449
4.120603015075377,0.00952229140801542,0.01216490915452877,0.009978909693038152,0.012748247735295428,3.935425394644656e-09,0.0326863406912844,5.027581110359593e-09,0.04175742455946565
4.2211055276381915,0.02467951464835767,0.03152855135502559,0.024376191728356,0.031141050531095674,7.12336120980899e-07,0.07687791739694438,9.100230005487792e-07,0.0982130078833732
4.3216080402010055,0.03265883547172374,0.04172228611611271,0.03129212163926488,0.03997628309019135,4.7222936651124686e-05,0.10019272801354684,6.032820355481276e-05,0.1279981237712646
4.42211055276382,0.028744692867815225,0.03672189417743106,0.022274954137318323,0.028456679373798616,0.0013076424925759238,0.08101157339156344,0.0016705382609271554,0.10349383237150911
4.522613065326634,0.054575021884793386,0.06972063286953084,0.025978503275946804,0.033188034138138735,0.013107729157607162,0.11515886902112257,0.016745374363384618,0.14711765476963073
4.623115577889448,0.15952729917228142,0.2037991717481572,0.056495436117088696,0.07217399873221299,0.05958690971203597,0.27642766913415756,0.07612341529853461,0.35314162723318726
4.723618090452262,0.3098606063274426,0.39585284308434576,0.08277365330320904,0.10574492311529221,0.15405814980141058,0.47858496154960906,0.19681222896323164,0.6114014296048532
4.824120603015076,0.38259320709396527,0.4887701297946208,0.08995216069150531,0.11491560341711861,0.2141219117041824,0.566484483625806,0.27354483204355967,0.723694747984435
4.92462311557789,0.34720413133354416,0.4435599095606675,0.08185652240619797,0.10457327087667663,0.1948593447664646,0.5113730762410845,0.24893653485543535,0.6532888723935001
5.025125628140704,0.2965256411641632,0.37881717038338725,0.07986539834993936,0.10202957186328643,0.1540187960649865,0.45538210701693843,0.19676195381327274,0.581759339752605
5.125628140703518,0.26120343103874705,0.3336923722753216,0.0771733352046301,0.09859040977532767,0.1197301474832373,0.42046162713978275,0.15295755031881236,0.5371477597099518
5.226130653266332,0.25744555405293784,0.32889161264851763,0.06716719327251902,0.08580737233446645,0.13320502211828053,0.3956939084029147,0.17017196004229385,0.5055065259471095
5.326633165829146,0.3648208276231302,0.46606557555880584,0.07645297202098883,0.09767013204890913,0.22998889415295606,0.5234523640979861,0.2938152051896029,0.6687203933514619
5.42713567839196,0.580271509066428,0.7413079363242885,0.1068620387184539,0.136518295584136,0.38387381984034913,0.8073262372845544,0.4904061370385052,1.0313746884880293
5.527638190954774,0.7521087033736101,0.9608332342327721,0.1278286808376609,0.16330358136534773,0.5122035674543125,1.019099584257493,0.654349840781219,1.3019191842285998
5.628140703517588,0.7673648521053433,0.9803232556380499,0.11930763590461825,0.15241778370693249,0.5435107330862577,1.0091720133597255,0.6943453428594077,1.2892365227848606
5.728643216080402,0.7194694558407013,0.9191359720826354,0.09974800744561961,0.1274299847513401,0.5356994555024626,0.9270336267322031,0.684366286546587,1.1843031649816869
5.8291457286432165,0.7421829698844664,0.9481529201136454,0.11062513028678213,0.14132571693970936,0.5368616112857704,0.9674346852377755,0.6858509627575512,1.2359162889040853
5.9296482412060305,0.7827671614358458,1.0,0.1160580144815278,0.14826633026945102,0.5665392996021235,1.029631931019543,0.7237647764411946,1.3153744583904978
6.030150753768845,0.7790642780493633,0.9952694957467426,0.1152703350330942,0.14726005472898412,0.5677015773121447,1.0179887246922974,0.7252496084158642,1.3005000399160587
